тайӧ виччысьӧ миянлысь большевистскӧй партия , сӧветскӧй правительство да великӧй вождь сталин .	тайӧ виччысьны ми большевистскӧй партия , сӧветскӧй правительство да великӧй вождь сталин .	NOM;PRO;SG 3;FIN;IND;PRS;SG;V 1;AT+ABL;PL;PRO ADJ;NOM;SG N;NOM;SG _ ADJ;NOM;SG N;NOM;SG CONJ ADJ;NOM;SG N;NOM;SG NOM;PROPN;SG _
став челядь миян странаын тӧдӧны климент ефремович ворошиловӧс , советскӧй союзса маршалӧс , оборона кузя народнӧй комиссарӧс .	став челядь ми страна тӧдны климент ефрем ворошилов , советскӧй союз маршал , оборона кузя народнӧй комиссар .	NOM;PRO;SG N;NOM;SG 1;NOM;PL;PRO IN+ESS;N;SG 3;FIN;IND;PL;PRS;V NOM;PROPN;SG NOM;PROPN;SG ACC;PROPN;SG _ ADJ;NOM;SG ADJ;NOM;SG ACC;N;SG _ NOM;PROPN;SG ADV ADJ;NOM;SG ACC;N;SG _
тайӧ лыдпасъясыс висьталӧны сы йылысь , мый колхозъясса председательяс , а сідз жӧ сиктса общественность колхозникьясӧс ӧнӧдз на эз мобилизуйтны ыджыд урожай босьтӧм вӧсна тышӧ , аскадӧ да некутшӧм вошӧмъястӧг идралӧм вӧсна тышӧ .	тайӧ лыдпас висьтавны сійӧ йылысь , мый колхоз председатель , а сідз жӧ сиктса общественность колхозник ӧнӧдз на оз мобилизуйтны ыджыд урожай босьтны вӧсна тышӧ , аскадӧ да некутшӧм вошны идравны вӧсна тышӧ .	NOM;PRO;SG N;NOM;PL;PSS3S 3;FIN;IND;PRS;SG;V 3;NOM;PRO;SG ADP;IN+ABL;SG _ CONJ ADJ;NOM;SG N;NOM;PL _ CONJ ADV PART ADJ;NOM;SG N;NOM;SG ACC;N;PL ADV ADV 3;FIN;IND;NEG;PST;V PL;V ACC;ADJ;SG ACC;N;SG NOM;PST;SG;V;V.PTCP ADP IN+ALL;N;SG _ IN+ALL;N;SG CONJ NEG;NOM;PRO;SG PL;V NOM;PST;SG;V;V.PTCP ADP IN+ALL;N;SG _
кымӧрыс недыр повзьӧдчӧм бӧрын вешйис бокӧ .	кымӧр недыр повзьӧдчыны бӧрын вешйыны бокӧ .	N;NOM;PSS3S;SG ADV;NEG NOM;PST;SG;V;V.PTCP ADP;IN+ESS;SG 3;FIN;IND;PST;SG;V ADV;IN+ALL _
быд колхозник да колхозница обязанӧсь тышкасьны сы вӧсна , медым му вылӧ эз коль ниӧти шеп , быдӧнлы должен лоны гӧгӧрвоана , мый быд нянь шеп сьӧктаммӧдӧ колхозниклысь трудоденьсӧ , унджык воӧ нянь трудодень вылӧ .	быд колхозник да колхозница обязан тышкасьны сійӧ вӧсна , медым му вылын оз кольны ниӧти шеп , быдӧн должен лоны гӧгӧрвоана , мый быд нянь шеп сьӧктаммӧдны колхозник трудодень , унджык во нянь трудодень вылын .	PRO N;NOM;SG CONJ N;NOM;SG ADJ;PL NFIN;V 3;NOM;PRO;SG ADP _ CONJ N;NOM;SG ADP;IN+ALL;SG 3;FIN;IND;NEG;V SG;V NOM;PRO;SG N;NOM;SG _ DAT;PRO;SG ADJ;NOM;SG NFIN;V ADV _ CONJ PRO N;NOM;SG N;NOM;SG 3;FIN;IND;PRS;SG;V AT+ABL;N;SG N;NOM;SG _ ADV IN+ALL;N;SG N;NOM;SG N;NOM;SG ADP;IN+ALL;SG _
тӧв ныркӧд тшӧтш сынӧдыс кутіс рудӧдны .	тӧв ныр тшӧтш сынӧд кутны рудӧдны .	N;NOM;SG COM;N;SG ADV N;NOM;PSS3S;SG 3;FIN;IND;PST;SG;V NFIN;V _
ӧддзӧді воськовъясӧс .	ӧддзӧдны воськов .	1;FIN;IND;PST;SG;V ACC;N;PL;PSS1S _
тыдалӧ , разведкаыс сійӧ луннас вӧлі сэтшӧм важнӧй делӧӧн , мый ворошилов решитчис мунны ачыс .	тыдавны , разведка сійӧ лун вӧвны сэтшӧм важнӧй делӧ , мый ворошилов решитчыны мунны ас .	3;FIN;IND;PRS;SG;V _ N;NOM;PSS3S;SG 3;NOM;PRO;SG INS;N;PSS3S;SG 3;FIN;IND;PST;V NOM;PRO;SG ADJ;NOM;SG INS;N;SG _ CONJ NOM;PROPN;SG 3;FIN;IND;PST;SG;V NFIN;V 3;NOM;PRO;REFL _
тайӧ рудыс зэв ӧдйӧ матыстчис мелань .	тайӧ руд зэв ӧдйӧ матыстчыны ме .	PRO ADJ;NOM;PSS3S;SG ADV ADV;IN+ALL 3;FIN;IND;PST;SG;V 1;PRO _
кыдзи лои краснӧй армияса командирӧн ?	кыдзи лоны краснӧй армияса командир ?	ADV 3;FIN;IND;PST;SG;V ADJ;NOM;SG ADJ;NOM;SG INS;N;SG _
