ይህ ቤት ፈራሽ ን ኧው ።	ይህ ቤት ፈራሽ ን ኧው ።	DET N N V 3;PRO;SG _
ቤት መሥራት ይ ችል ኣል ።	ቤት መሥራት ይ ችል ኣል ።	N N;V.MSDR 3;MASC;PRO;SG V V _
ልጅ ኡ መኪና ተሰጥ ኧው ።	ልጅ ኡ መኪና ተሰጥ ኧው ።	N DET N PASS;V 3;PRO;SG _
ተማሪ ው ደብተር ኡ ን ቀደድ ኧ ው ።	ተማሪ ው ደብተር ኡ ን ቀደድ ኧ ው ።	N DET N DET PART V 3;MASC;PRO;SG 3;MASC;PRO;SG _
ተራራ ኡ ን መውጣት ብዙ ጥረት ይ ጠይቅ ኣል ።	ተራራ ኡ ን መውጣት ብዙ ጥረት ይ ጠይቅ ኣል ።	N DET PART N;V.MSDR ADJ N 3;MASC;PRO;SG V V _
ምነው እውነት ኡ ን ብ ይ ናገር ኖር ኦ ።	ምነው እውነት ኡ ን ብ ይ ናገር ኖር ኦ ።	INTJ N DET PART CONJ 3;MASC;PRO;SG V V 3;MASC;PRO;SG _
ካሳ አስቴር ስለ ታመም ኧች ወደ ትምህርት ቤት ኣል ሄድ ኧ ም ።	ካሳ አስቴር ስለ ታመም ኧች ወደ ትምህርት ቤት ኣል ሄድ ኧ ም ።	PROPN PROPN CONJ V 3;FEM;PRO;SG ADP N N NEG;PART V 3;MASC;PRO;SG PART _
ደብዳቤ ው ስ ኣል ይ ጠፍ ኣ ኣል ቀር ኧ ም ።	ደብዳቤ ው ስ ኣል ይ ጠፍ ኣ ኣል ቀር ኧ ም ።	N DET CONJ NEG;PART 3;MASC;PRO;SG V 3;FEM;PRO;SG NEG;PART V 3;MASC;PRO;SG PART _
የ ደከም ኡ ት አይኖች ኡ ብዙ ኣል ይ ኣስነብ ኡ ት ም ።	የ ደከም ኡ ት አይኖች ኡ ብዙ ኣል ይ ኣስነብ ኡ ት ም ።	ADP V 3;PL;PRO 3;MASC;PRO;SG N;PL 3;MASC;PRO;SG ADV NEG;PART 3;MASC;PRO;SG CAUS;V 3;PL;PRO 3;MASC;PRO;SG PART _
ለ በዓል ምን ገዛ ህ ?	ለ በዓል ምን ገዛ ህ ?	ADP N PRO V 3;MASC;PRO;SG _
ይህ መንገድ ወደ ግቢ ይ ኣስኬድ ኣል ።	ይህ መንገድ ወደ ግቢ ይ ኣስኬድ ኣል ።	DET N ADP N 3;MASC;PRO;SG CAUS;V V _
የ እም ት ሰግ ኣ ከ ሆን ኧ ልጅ ህ ን ወደ እዚያ ቦታ ኣል ት ላክ ።	የ እም ት ሰግ ኣ ከ ሆን ኧ ልጅ ህ ን ወደ እዚያ ቦታ ኣል ት ላክ ።	PART PART 3;MASC;PRO;SG V 3;FEM;PRO;SG CONJ V 3;MASC;PRO;SG N 2;MASC;PRO;SG PART ADP DET N NEG;PART 3;MASC;PRO;SG IMP;V _
በ ዛሬ ጊዜ ገንዘብ ለ ማግኘት ስ ይ ተባል እስከ መግደል ይ ደረስ ኣል ።	በ ዛሬ ጊዜ ገንዘብ ለ ማግኘት ስ ይ ተባል እስከ መግደል ይ ደረስ ኣል ።	ADP N N N ADP N CONJ 3;MASC;PRO;SG V ADP N;V.MSDR 3;MASC;PRO;SG V V _
ወደ ጎጃም የ ሄድ ኧች ው በ አውቶቢስ ን ኧው ።	ወደ ጎጃም የ ሄድ ኧች ው በ አውቶቢስ ን ኧው ።	ADP PROPN ADP V 3;FEM;PRO;SG 3;DET;SG ADP N V 3;PRO;SG _
ፈረስ ኡ ቶሎ ቶሎ ሂያጅ ን ኧው ።	ፈረስ ኡ ቶሎ ቶሎ ሂያጅ ን ኧው ።	N DET ADV ADV N V 3;PRO;SG _
እርሳስ ኡ ን መቅረጫ የ እም ይ ሆን ምላጭ ስጥ ኧ ኝ ።	እርሳስ ኡ ን መቅረጫ የ እም ይ ሆን ምላጭ ስጥ ኧ ኝ ።	N DET PART N;V.MSDR PART PART 3;MASC;PRO;SG V N V 3;MASC;PRO;SG 1;PRO;SG _
አልማዝ አገነፍ ኣች ።	አልማዝ አገነፍ ኣች ።	PROPN V 3;FEM;PRO;SG _
ልጅት ዋ እኮ ቆንጆ ን ኣት ።	ልጅት ዋ እኮ ቆንጆ ን ኣት ።	N DET;FEM INTJ ADJ V 3;FEM;PRO;SG _
ጨው ና በርበሬ ቅቤ ም አመጣ ሁ ።	ጨው ና በርበሬ ቅቤ ም አመጣ ሁ ።	N CONJ N N CONJ V 1;PRO;SG _
አስቴር አልጋ ው ላይ ወደቅ ኧች ።	አስቴር አልጋ ው ላይ ወደቅ ኧች ።	PROPN N DET ADP V 3;FEM;PRO;SG _
