toca agora , partindo de este traballo , elaborar un texto articulado quen de se apresentar en o parlamento galego e de se confrontar con o que propoñan _ se tal for a súa vontade _ as demais forzas políticas actuantes en a galiza .	tocar agora , partir de ese traballo , elaborar un texto articulado quen de se apresentar en o parlamento galego e de se confrontar con o que propoñer _ se tal ser o seu vontade _ o demais forza político actuante en o galiza .	3;FIN;IND;PRS;SG;V ADV _ V;V.MSDR ADP DET;MASC;SG MASC;N;SG _ NFIN;V DET;INDF;MASC;SG MASC;N;SG ADJ;MASC;SG MASC;PRO;SG ADP 3;MASC+FEM;PRO NFIN;V ADP DEF;DET;MASC;SG MASC;PROPN;SG ADJ;MASC;SG CONJ ADP 3;MASC+FEM;PRO NFIN;V ADP 3;MASC;PRO;SG MASC;PRO;SG 3;FIN;PL;PRS;SBJV;V _ CONJ FEM;PRO;SG 3;FIN;FUT;SBJV;SG;V DEF;DET;FEM;SG 3;DET;FEM;PSSP;SG FEM;N;SG _ DEF;DET;FEM;PL DET;FEM;PL FEM;N;PL ADJ;FEM;PL ADJ;FEM;PL ADP DEF;DET;FEM;SG PROPN _
permanecerá relegado miguel barros ?	permanecer relegar miguel barros ?	3;FIN;FUT;IND;SG;V MASC;SG;V;V.PTCP MASC;PROPN MASC;PROPN _
o anterior expediente , o de 1999 , foi mellor ca este .	o anterior expediente , o de 1999 , ser mellor ca este .	DEF;DET;MASC;SG ADJ;MASC;SG MASC;N;SG _ 3;MASC;PRO;SG ADP MASC;NUM;SG _ 3;FIN;IND;PST;SG;V ADJ;CMPR;MASC;SG CONJ MASC;PRO;SG _
a entrevista de beiras abre publicamente un debate que , tanto anxo quintana como a dirección nacionalista querían levar con tento e man esquerda , sabedores de as dificultades que van ter a elaboración de unhas listas en as que o bng ten que transmitir unha imaxe remozada , pero , a o mesmo tempo , gardar os equilibrios internos e proxectar a imaxe de anxo quintana como presidente .	o entrevista de beiras abrir publicamente un debate que , tanto anxo quintana como o dirección nacionalista querer levar con tento e man esquerdo , sabedor de o dificultade que ir ter o elaboración de un lista en o que o bng ter que transmitir un imaxe remozado , pero , a o mesmo tempo , gardar o equilibrio interno e proxectar o imaxe de anxo quintana como presidente .	DEF;DET;FEM;SG FEM;N;SG ADP PROPN 3;FIN;IND;PRS;SG;V ADV DET;INDF;MASC;SG MASC;N;SG MASC;PRO;SG _ ADV MASC;PROPN MASC;PROPN CONJ DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG 3;FIN;IND;IPFV;PL;V NFIN;V ADP MASC;N;SG CONJ FEM;N;SG ADJ;FEM;SG _ ADJ;MASC;PL ADP DEF;DET;FEM;PL FEM;N;PL FEM;PL;PRO 3;FIN;IND;PL;PRS;V NFIN;V DEF;DET;FEM;SG FEM;N;SG ADP DET;FEM;INDF;PL FEM;N;PL ADP DEF;DET;FEM;PL FEM;PL;PRO DEF;DET;MASC;SG MASC;PROPN;SG 3;FIN;IND;PRS;SG;V CONJ NFIN;V DET;FEM;INDF;SG FEM;N;SG ADJ;FEM;SG _ CONJ _ ADP DEF;DET;MASC;SG DET;MASC;SG MASC;N;SG _ NFIN;V DEF;DET;MASC;PL MASC;N;PL ADJ;MASC;PL CONJ NFIN;V DEF;DET;FEM;SG FEM;N;SG ADP MASC;PROPN MASC;PROPN ADV MASC;N;SG _
alberto fortes recupera en tristemil unha historia gótica sobre a imaxe de o dobre , ese outro que é coma nós sen ser nós .	alberto fortes recuperar en tristemil un historia gótico sobre o imaxe de o dobre , ese outro que ser coma nós sen ser nós .	MASC;PROPN MASC;PROPN 3;FIN;IND;PRS;SG;V ADP PROPN DET;FEM;INDF;SG FEM;N;SG ADJ;FEM;SG ADP DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;MASC;SG MASC;N;SG _ DET;MASC;SG MASC;PRO;SG MASC;PRO;SG 3;FIN;IND;PRS;SG;V CONJ 1;MASC+FEM;PL;PRO ADP;NEG NFIN;V 1;MASC+FEM;NOM;PL;PRO _
o seu pai acompañou no en os primeiros pasos .	o seu pai acompañar o en o primeiro paso .	DEF;DET;MASC;SG 3;DET;MASC;PSSS;SG MASC;N;SG 3;FIN;IND;PST;SG;V 3;ACC;MASC;PRO;SG ADP DEF;DET;MASC;PL MASC;NUM;PL MASC;N;PL _
" compenetración perfecta "	" compenetración perfecto "	_ FEM;N;SG ADJ;FEM;SG _
xa sabía que esa serie é baluarte de estereotipos e que reproduce unha sociedade patrialcal de o século xxi , unha sociedade en que o machismo semella unha broma a a que lle sorrimos con simpatía , sen que pareza pasar nada , non así con shin chan , e certo é que tamén reproduce comportamentos machistas , mais por que tanta polémica con shin chan :	xa saber que ese serie ser baluarte de estereotipo e que reproducir un sociedade patrialcal de o século xxi , un sociedade en que o machismo semellar un broma a o que lle sorrir con simpatía , sen que parecer pasar nada , non así con shin chan , e certo ser que tamén reproducir comportamento machista , mais por que tanto polémica con shin chan :	ADV 1;FIN;IND;IPFV;SG;V CONJ DET;FEM;SG FEM;N;SG 3;FIN;IND;PRS;SG;V MASC;N;SG ADP MASC;N;PL CONJ CONJ 3;FIN;IND;PRS;SG;V DET;FEM;INDF;SG FEM;N;SG ADJ;FEM;SG ADP DEF;DET;MASC;SG MASC;N;SG MASC;NUM;SG _ DET;FEM;INDF;SG FEM;N;SG ADP FEM;PL;PRO DEF;DET;MASC;SG MASC;N;SG 3;FIN;IND;PRS;SG;V DET;FEM;INDF;SG FEM;N;SG ADP DEF;DET;FEM;SG FEM;PRO;SG 3;DAT;FEM;PRO;SG 1;FIN;IND;PL;PRS;V ADP FEM;N;SG _ ADP;NEG CONJ 3;FIN;PRS;SBJV;SG;V NFIN;V PRO _ ADV;NEG ADV ADP PROPN PROPN _ CONJ ADJ;MASC;SG 3;FIN;IND;PRS;SG;V CONJ ADV 3;FIN;IND;PRS;SG;V MASC;N;PL ADJ;MASC;PL _ CONJ ADP MASC+FEM;PRO DET;FEM;SG FEM;N;SG ADP PROPN PROPN _
xurdiu en o século vi e non perdeu as súas connotacións relixiosas até o xv .	xurdir en o século vi e non perder o seu connotación relixioso até o xv .	3;FIN;IND;PST;SG;V ADP DEF;DET;MASC;SG MASC;N;SG MASC;NUM;SG CONJ ADV;NEG 3;FIN;IND;PST;SG;V DEF;DET;FEM;PL 3;DET;FEM;PL;PSSS FEM;N;PL ADJ;FEM;PL ADP DEF;DET;MASC;SG MASC;NUM;SG _
hai guitarristas que só tocan obras de guitarra .	haber guitarrista que só tocar obra de guitarra .	3;FIN;IND;PRS;SG;V MASC+FEM;N;PL MASC+FEM;PL;PRO ADV 3;FIN;IND;PL;PRS;V FEM;N;PL ADP FEM;N;SG _
para todo isto e solicito a súa libre colaboración , vou facer un minuto de silencio .	para todo este e solicitar o seu libre colaboración , ir facer un minuto de silencio .	ADP DET;MASC;SG NEUT;PRO;SG CONJ 1;FIN;IND;PRS;SG;V DEF;DET;FEM;SG 3;DET;FEM;PSSS;SG ADJ;FEM;SG FEM;N;SG _ 1;FIN;IND;PRS;SG;V NFIN;V DET;INDF;MASC;SG MASC;N;SG ADP MASC;N;SG _
é , en todo caso , o único punto en común entre ambos .	ser , en todo caso , o único punto en común entre ambos .	3;FIN;IND;PRS;SG;V _ ADP DET;MASC;SG MASC;N;SG _ DEF;DET;MASC;SG ADJ;MASC;SG MASC;N;SG ADP MASC;N;SG ADP MASC;PL;PRO _
que distintas as imaxes que nos dan a serie e a película , quizais porque , como di tamar novás , tentou se tratar con fidelidade e con respecto a nosa realidade , fuxindo de prexuízos extemporáneos e o resultado foi este , a admiración por unha historia real que nos dá a exacta dimensión de a vida .	que distinto o imaxe que nos dar o serie e o película , quizais porque , como dicir tamar novás , tentar se tratar con fidelidade e con respecto o noso realidade , fuxir de prexuízo extemporáneo e o resultado ser este , o admiración por un historia real que nos dar o exacto dimensión de o vida .	DET;FEM;PL ADJ;FEM;PL DEF;DET;FEM;PL FEM;N;PL FEM;PL;PRO 1;DAT;MASC+FEM;PL;PRO 3;FIN;IND;PL;PRS;V DEF;DET;FEM;SG FEM;N;SG CONJ DEF;DET;FEM;SG FEM;N;SG _ ADV CONJ _ ADV 3;FIN;IND;PRS;SG;V MASC;PROPN MASC;PROPN _ 3;FIN;IND;PST;SG;V 3;MASC+FEM;PRO NFIN;V ADP FEM;N;SG CONJ ADP MASC;N;SG DEF;DET;FEM;SG 1;DET;FEM;PSSP;SG FEM;N;SG _ V;V.MSDR ADP MASC;N;PL ADJ;MASC;PL CONJ DEF;DET;MASC;SG MASC;N;SG 3;FIN;IND;PST;SG;V MASC;PRO;SG _ DEF;DET;FEM;SG FEM;N;SG ADP DET;FEM;INDF;SG FEM;N;SG ADJ;FEM;SG FEM;PRO;SG 1;DAT;MASC+FEM;PL;PRO 3;FIN;IND;PRS;SG;V DEF;DET;FEM;SG ADJ;FEM;SG FEM;N;SG ADP DEF;DET;FEM;SG FEM;N;SG _
e sen renunciar a a complexidade cando é precisa .	e sen renunciar a o complexidade cando ser preciso .	CONJ ADP;NEG NFIN;V ADP DEF;DET;FEM;SG FEM;N;SG ADV 3;FIN;IND;PRS;SG;V ADJ;FEM;SG _
o estatuto proposto quere garantir " a liberdade , a xustiza , o benestar e a seguridade de toda a cidadanía galega e de cantas persoas vivan ou se encontren en o seu territorio " .	o estatuto propoñer querer garantir " o liberdade , o xustiza , o benestar e o seguridade de todo o cidadanía galego e de canto persoa vivir ou se encontrar en o seu territorio " .	DEF;DET;MASC;SG MASC;PROPN;SG MASC;SG;V;V.PTCP 3;FIN;IND;PRS;SG;V NFIN;V _ DEF;DET;FEM;SG FEM;N;SG _ DEF;DET;FEM;SG FEM;N;SG _ DEF;DET;MASC;SG MASC;N;SG CONJ DEF;DET;FEM;SG FEM;N;SG ADP DET;FEM;SG DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG CONJ ADP DET;FEM;PL FEM;N;PL 3;FIN;PL;PRS;SBJV;V CONJ 3;MASC+FEM;PRO 3;FIN;PL;PRS;SBJV;V ADP DEF;DET;MASC;SG 3;DET;MASC;PSSS;SG MASC;N;SG _ _
tanto é así que persoas próximas a o bng e a o psdeg-psoe tentaron pór en marcha unha plataforma para que ambos os partidos elaborasen un programa de goberno común .	tanto ser así que persoa próximo a o bng e a o psdeg-psoe tentar pór en marcha un plataforma para que ambos o partido elaborar un programa de goberno común .	ADV 3;FIN;IND;PRS;SG;V ADV CONJ FEM;N;PL ADJ;FEM;PL ADP DEF;DET;MASC;SG MASC;PROPN;SG CONJ ADP DEF;DET;MASC;SG MASC;PROPN;SG 3;FIN;IND;PL;PST;V NFIN;V ADP FEM;N;SG DET;FEM;INDF;SG FEM;N;SG ADP CONJ DET;MASC;PL DEF;DET;MASC;PL MASC;N;PL 3;FIN;PL;PST;SBJV;V DET;INDF;MASC;SG MASC;N;SG ADP MASC;N;SG ADJ;MASC;SG _
daniel garcía santos , director de a editorial letras cubanas , escribe unha carta en el país ( 28 de febreiro ) :	daniel garcía santos , director de o editorial letras cubano , escribir un carta en el país ( 28 de febreiro ) :	MASC;PROPN MASC;PROPN MASC;PROPN _ MASC;N;SG ADP DEF;DET;FEM;SG FEM;N;SG FEM;PL;PROPN ADJ;FEM;PL _ 3;FIN;IND;PRS;SG;V DET;FEM;INDF;SG FEM;N;SG ADP DET PROPN _ MASC;NUM;SG ADP MASC;N;SG _ _
son fuxidos que levan 14 anos en a clandestinidade , o que sitúa a acción por 1950 , e , despois de formaren parte de a guerrilla antifranquista , regresan a a serra de a corza con a intención de teren cerca a familia ( a roberto os falanxistas asasinaron lle un fillo , e a marcial o pai ) , poder ver os seres queridos .	ser fuxido que levar 14 ano en o clandestinidade , o que situar o acción por 1950 , e , despois de formar parte de o guerrilla antifranquista , regresar a o serra de o corza con o intención de ter cerca o familia ( a roberto o falanxista asasinar lle un fillo , e a marcial o pai ) , poder ver o ser querido .	3;FIN;IND;PL;PRS;V MASC;N;PL MASC;PL;PRO 3;FIN;IND;PL;PRS;V MASC;NUM;PL MASC;N;PL ADP DEF;DET;FEM;SG FEM;N;SG _ DEF;DET;MASC;SG MASC;PRO;SG 3;FIN;IND;PRS;SG;V DEF;DET;FEM;SG FEM;N;SG ADP MASC;NUM;SG _ CONJ _ ADV ADP 3;NFIN;PL;V FEM;N;SG ADP DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG _ 3;FIN;IND;PL;PRS;V ADP DEF;DET;FEM;SG FEM;PROPN;SG ADP DEF;DET;FEM;SG FEM;PROPN;SG ADP DEF;DET;FEM;SG FEM;N;SG ADP 3;NFIN;PL;V ADV DEF;DET;FEM;SG FEM;N;SG _ ADP MASC;PROPN DEF;DET;MASC;PL MASC;N;PL 3;FIN;IND;PL;PST;V 3;DAT;MASC;PRO;SG MASC;NUM;SG MASC;N;SG _ CONJ ADP MASC;PROPN DEF;DET;MASC;SG MASC;N;SG _ _ NFIN;V NFIN;V DEF;DET;MASC;PL MASC;N;PL ADJ;MASC;PL _
xente nova , como dicía o anuncio , sobradamente preparada .	xente novo , como dicir o anuncio , sobradamente preparado .	FEM;N;SG ADJ;FEM;SG _ ADV 3;FIN;IND;IPFV;SG;V DEF;DET;MASC;SG MASC;N;SG _ ADV ADJ;FEM;SG _
grazas a este premio , algúns en os estados unidos poderán descubrir así que en o estado español hai algo máis que sol e touros e que a estética _ con todo o aprezo que mereza _ almodovariana .	grazas a este premio , algún en o estados unido poder descubrir así que en o estado español haber algo máis que sol e touro e que o estética _ con todo o aprezo que merecer _ almodovariano .	FEM;N;PL ADP DET;MASC;SG MASC;N;SG _ MASC;PL;PRO ADP DEF;DET;MASC;PL PROPN ADJ;MASC;PL 3;FIN;FUT;IND;PL;V NFIN;V ADV CONJ ADP DEF;DET;MASC;SG MASC;PROPN;SG ADJ;MASC;SG 3;FIN;IND;PRS;SG;V PRO ADV CONJ MASC;N;SG CONJ MASC;N;PL CONJ CONJ DEF;DET;FEM;SG FEM;N;SG _ ADP DET;MASC;SG DEF;DET;MASC;SG MASC;N;SG MASC;PRO;SG 3;FIN;PRS;SBJV;SG;V _ ADJ;FEM;SG _
o feito de que a guitarra sexa un instrumento con pouco volume , onde os fallos soan case máis forte que os acertos é un grande inconveniente .	o feito de que o guitarra ser un instrumento con pouco volume , onde o fallo soar case máis forte que o acerto ser un grande inconveniente .	DEF;DET;MASC;SG MASC;N;SG ADP CONJ DEF;DET;FEM;SG FEM;N;SG 3;FIN;PRS;SBJV;SG;V DET;INDF;MASC;SG MASC;N;SG ADP DET;MASC;SG MASC;N;SG _ ADV DEF;DET;MASC;PL MASC;N;PL 3;FIN;IND;PL;PRS;V ADV ADV ADV CONJ DEF;DET;MASC;PL MASC;N;PL 3;FIN;IND;PRS;SG;V DET;INDF;MASC;SG ADJ;MASC;SG MASC;N;SG _
