c' est pourquoi je voudrais souligner certains points que la commission devrait , d' après moi , placer à le premier plan .	ce être pourquoi je vouloir souligner certain point que le commission devoir , de après moi , placer à le premier plan .	PRO;SG 3;FIN;IND;PRS;SG;V CONJ 1;PRO;SG 1;COND;FIN;PRS;SG;V NFIN;V DET;MASC;PL MASC;N;PL CONJ DEF;DET;FEM;SG FEM;N;SG 3;COND;FIN;PRS;SG;V _ ADP ADP 1;PRO;SG _ NFIN;V ADP DEF;DET;MASC;SG ADJ;MASC;SG MASC;N;SG _
elles peuvent cependant être appliquées au-delà de la période visée à le premier alinéa tant que les engagements correspondants n' ont pas été remplis .	elle pouvoir cependant être appliquer au-delà de le période viser à le premier alinéa tant que le engagement correspondant ne avoir pas être remplir .	3;FEM;PL;PRO 3;FIN;IND;PL;PRS;V ADV NFIN;V FEM;PL;PST;V;V.PTCP ADP ADP DEF;DET;FEM;SG FEM;N;SG FEM;PST;SG;V;V.PTCP ADP DEF;DET;MASC;SG ADJ;MASC;SG FEM;N;SG ADV CONJ DEF;DET;PL MASC;N;PL ADJ;MASC;PL NEG;PART 3;FIN;IND;PL;PRS;V ADV;NEG MASC;PST;SG;V;V.PTCP MASC;PL;PST;V;V.PTCP _
bâtissez une communauté autour de votre activité .	bâtisser un communauté autour de votre activité .	2;FIN;IMP;PL;PRS;V DET;FEM;INDF;SG FEM;N;SG ADV ADP DET;FEM;SG FEM;N;SG _
et dans ces cavités , ces microcavités se forment , et alors qu' elles fusionnent les sols , elles absorbent de l' eau .	et dans ce cavités , ce microcavités se former , et alors que elle fusionnent le sols , elle absorber de le eau .	CONJ ADP DET;PL FEM;N;PL _ DET;PL FEM;N;PL 3;PRO 3;FIN;IND;PL;PRS;V _ CONJ ADV ADP 3;FEM;PL;PRO 3;FIN;IND;PL;PRS;V DEF;DET;PL MASC;N;PL _ 3;FEM;PL;PRO 3;FIN;IND;PL;PRS;V ADP DEF;DET;SG MASC;N;SG _
ce sont les grands désassembleurs moléculaires de la nature - les magiciens de le sol .	ce être le grand désassembleurs moléculaire de le nature - le magiciens de le sol .	DET;MASC;SG 3;FIN;IND;PL;PRS;V DEF;DET;PL ADJ;MASC;PL MASC;N;PL ADJ;PL ADP DEF;DET;FEM;SG FEM;N;SG _ DEF;DET;PL FEM;N;PL ADP DEF;DET;SG FEM;N;SG _
c' est une histoire qui dure depuis cinq ans que je suis député à le parlement , et j' ai abordé à maintes reprises cette question .	ce être un histoire qui durer depuis cinq an que je être député à le parlement , et je avoir aborder à maint reprise ce question .	PRO 3;FIN;IND;PRS;SG;V DET;FEM;INDF;SG FEM;N;SG PRO 3;FIN;IND;PRS;SG;V ADP NUM MASC;N;PL CONJ 1;PRO;SG 1;FIN;IND;PRS;SG;V MASC;N;SG ADP DEF;DET;MASC;SG MASC;N;SG _ CONJ 1;PRO;SG 1;FIN;IND;PRS;SG;V MASC;PST;SG;V;V.PTCP ADP DET;FEM;PL FEM;N;PL DET;FEM;SG FEM;N;SG _
il y a donc deux points sur lesquels je voudrais attirer l' attention de la commission :	il y avoir donc deux point sur lequel je vouloir attirer le attention de le commission :	3;MASC;PRO;SG PRO 3;FIN;IND;PRS;SG;V ADV NUM MASC;N;PL ADP MASC;PL;PRO 1;PRO;SG 1;COND;FIN;PRS;SG;V NFIN;V DEF;DET;SG FEM;N;SG ADP DEF;DET;FEM;SG FEM;N;SG _
et toutes sortes d' autres oxalates renferment aussi de le dioxyde de carbone par le biais de les minéraux qui sont formés et sortis de la matrice rocheuse .	et tout sorte de autre oxalate renfermer aussi de le dioxyde de carbone par le biais de le minéral qui être former et sortir de le matrice rocheuse .	CONJ DET;FEM;PL FEM;N;PL ADP ADJ;PL MASC;N;PL 3;FIN;IND;PL;PRS;V ADV ADP DEF;DET;SG FEM;N;SG ADP FEM;N;SG ADP DET;MASC;SG MASC;N;SG ADP DEF;DET;PL MASC;N;PL PRO 3;FIN;IND;PL;PRS;V MASC;PL;PST;V;V.PTCP CONJ MASC;PL;PST;V;V.PTCP ADP DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG _
ils rentrent dans la chaîne alimentaire .	il rentrer dans le chaîne alimentaire .	3;MASC;PL;PRO 3;FIN;IND;PL;PRS;V ADP DEF;DET;FEM;SG FEM;N;SG ADJ;SG _
je vous invite à vous lever pour cette minute de silence .	je vous inviter à vous lever pour ce minute de silence .	1;PRO;SG 2;PL;PRO 3;FIN;IND;PRS;SG;V ADP 2;PL;PRO NFIN;V ADP DET;FEM;SG FEM;N;SG ADP MASC;N;SG _
les économies d' énergie sont le moyen le plus efficace par rapport à les coûts d' améliorer la sécurité d' approvisionnement et de réduire la dépendance à l' égard de les importations .	le économie de énergie être le moyen le plus efficace par rapport à le coût de améliorer le sécurité de approvisionnement et de réduire le dépendance à le égard de le importation .	DEF;DET;PL FEM;N;PL ADP FEM;N;SG 3;FIN;IND;PL;PRS;V DEF;DET;MASC;SG MASC;N;SG DEF;DET;MASC;SG ADV ADJ;FEM;SG ADP MASC;N;SG ADP DEF;DET;PL MASC;N;PL ADP NFIN;V DEF;DET;FEM;SG FEM;N;SG ADP MASC;N;SG CONJ ADP NFIN;V DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;SG MASC;N;SG ADP DEF;DET;PL FEM;N;PL _
( 19 ) le chapitre 6 de la communication de la commission intitulée " les accords environnementaux conclus à le niveau communautaire dans le cadre de le plan d' action " simplifier et améliorer l' environnement réglementaire " pourrait fournir des orientations utiles pour évaluer l' autorégulation de l' industrie dans le cadre de la présente directive .	( 19 ) le chapitre 6 de le communication de le commission intituler " le accord environnemental conclure à le niveau communautaire dans le cadre de le plan de action " simplifier et améliorer le environnement réglementaire " pouvoir fournir un orientation utile pour évaluer le autorégulation de le industrie dans le cadre de le présent directive .	_ NUM _ DEF;DET;MASC;SG MASC;N;SG NUM ADP DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;FEM;SG FEM;N;SG FEM;PST;SG;V;V.PTCP _ DEF;DET;PL MASC;N;PL ADJ;MASC;PL MASC;PL;PST;V;V.PTCP ADP DEF;DET;MASC;SG MASC;N;SG ADJ;MASC;SG ADP DEF;DET;MASC;SG MASC;N;SG ADP DEF;DET;SG MASC;N;SG ADP FEM;N;SG _ NFIN;V CONJ NFIN;V DEF;DET;SG MASC;N;SG ADJ;MASC;SG _ 3;COND;FIN;PRS;SG;V NFIN;V DET;FEM;INDF;PL FEM;N;PL ADJ;FEM;PL ADP NFIN;V DEF;DET;SG FEM;N;SG ADP DEF;DET;SG FEM;N;SG ADP DEF;DET;MASC;SG MASC;N;SG ADP DET;FEM;SG ADJ;FEM;SG FEM;N;SG _
mes amendements concernent la résistance à le froid de les citernes de transport de les substances dangereuses .	mon amendement concerner le résistance à le froid de le citernes de transport de le substances dangereux .	DET;MASC;PL MASC;N;PL 3;FIN;IND;PL;PRS;V DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;MASC;SG MASC;N;SG ADP DEF;DET;PL FEM;N;PL ADP MASC;N;SG ADP DEF;DET;PL FEM;N;PL ADJ;FEM;PL _
ceux-ci ne peuvent accepter que l' union européenne prenne des décisions de façon , de le moins en apparence , bureaucratique .	celui-ci ne pouvoir accepter que le union européenne prendre un décision de façon , de le moins en apparence , bureaucratique .	3;MASC;PL;PRO NEG;PART 3;FIN;IND;PL;PRS;V NFIN;V CONJ DEF;DET;SG PROPN PROPN 3;FIN;PRS;SBJV;SG;V DET;FEM;INDF;PL FEM;N;PL ADP FEM;N;SG _ ADP DEF;DET;SG ADV ADP FEM;N;SG _ ADJ;SG _
toute utilisation autorisée devra être effectuée en conformité avec les lignes directrices de creative commons à jour à le moment de l' utilisation , telles qu' elles sont disponibles sur son site internet ou sur simple demande .	tout utilisation autorisée devoir être effectuer en conformité avec le lignes directeur de creative commons à jour à le moment de le utilisation , tel que elle être disponible sur son site internet ou sur simple demande .	DET;FEM;SG FEM;N;SG ADJ;FEM;SG 3;FIN;FUT;IND;SG;V NFIN;V FEM;PST;SG;V;V.PTCP ADP FEM;N;SG ADP DEF;DET;PL FEM;N;PL ADJ;FEM;PL ADP PROPN PROPN ADP MASC;N;SG ADP DEF;DET;MASC;SG MASC;N;SG ADP DEF;DET;SG FEM;N;SG _ ADJ;FEM;PL CONJ 3;FEM;PL;PRO 3;FIN;IND;PL;PRS;V ADJ;PL ADP DET;MASC;SG MASC;N;SG MASC;N;SG CONJ ADP ADJ;SG FEM;N;SG _
certains collègues ont déjà parlé de le chômage et de la diminution de la démographie .	certain collègue avoir déjà parler de le chômage et de le diminution de le démographie .	DET;MASC;PL MASC;N;PL 3;FIN;IND;PL;PRS;V ADV MASC;PST;SG;V;V.PTCP ADP DEF;DET;SG MASC;N;SG CONJ ADP DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;FEM;SG FEM;N;SG _
cependant , il se fait qu' il semblerait être à nouveau mis en accusation , le ministère public ayant interjeté appel .	cependant , il se faire que il sembler être à nouveau mettre en accusation , le ministère public avoir interjeter appel .	ADV _ 3;MASC;PRO;SG 3;PRO 3;FIN;IND;PRS;SG;V CONJ 3;MASC;PRO;SG 3;COND;FIN;PRS;SG;V NFIN;V ADP ADJ;MASC;SG 1;FIN;IND;PST;SG;V ADP FEM;N;SG _ DEF;DET;MASC;SG MASC;N;SG ADJ;MASC;SG V;V.MSDR MASC;PST;SG;V;V.PTCP MASC;N;SG _
toute personne a droit à la liberté de pensée , de conscience et de religion ;	tout personne avoir droit à le liberté de pensée , de conscience et de religion ;	DET;FEM;SG FEM;N;SG 3;FIN;IND;PRS;SG;V MASC;N;SG ADP DEF;DET;FEM;SG FEM;N;SG ADP FEM;N;SG _ ADP FEM;N;SG CONJ ADP FEM;N;SG _
il est difficile de s' imaginer , quand on est bord de la méditerranée , qu' en laponie la température descend nettement en dessous de cette limite .	il être difficile de se imaginer , quand on être bord de le méditerranée , que en laponie le température descendre nettement en dessous de ce limite .	3;MASC;PRO;SG 3;FIN;IND;PRS;SG;V ADJ;SG ADP 3;PRO NFIN;V _ CONJ 3;MASC;PRO;SG 3;FIN;IND;PRS;SG;V ADJ;SG ADP DEF;DET;FEM;SG PROPN _ CONJ ADP PROPN DEF;DET;FEM;SG FEM;N;SG 3;FIN;IND;PRS;SG;V ADV ADP ADV ADP DET;FEM;SG FEM;N;SG _
à partir de 2003 , on observe une plus grande participation de les autorités judiciaires , tandis qu' à partir de 2004 , celle de le secteur financier augmente ( intermédiaires financiers de le secteur public , banques centrales nationales , banques commerciales et autres institutions financières ) .	à partir de 2003 , on observer un plus grand participation de le autorité judiciaire , tandis que à partir de 2004 , celui de le secteur financier augmenter ( intermédiaire financier de le secteur public , banque centrales national , banque commercial et autre institutions financier ) .	ADP NFIN;V ADP NUM _ 3;MASC;PRO;SG 3;FIN;IND;PRS;SG;V 3;DET;FEM;SG ADV ADJ;FEM;SG FEM;N;SG ADP DEF;DET;PL FEM;N;PL ADJ;PL _ ADV CONJ ADP NFIN;V ADP NUM _ 3;FEM;PRO;SG ADP DEF;DET;SG MASC;N;SG ADJ;MASC;SG 3;FIN;IND;PRS;SG;V _ N;PL ADJ;MASC;PL ADP DEF;DET;SG MASC;N;SG ADJ;MASC;SG _ FEM;N;PL ADJ;FEM;PL ADJ;FEM;PL _ FEM;N;PL ADJ;FEM;PL CONJ DET;PL FEM;N;PL ADJ;FEM;PL _ _
dans cette mesure , j' accepte donc la proposition de modification de la directive 94 / 55 / ce qui est soumise à notre examen .	dans ce mesure , je accepter donc le proposition de modification de le directive 94 / 55 / ce qui être soumettre à notre examen .	ADP DET;FEM;SG FEM;N;SG _ 1;PRO;SG 1;FIN;IND;PRS;SG;V ADV DEF;DET;FEM;SG FEM;N;SG ADP FEM;N;SG ADP DEF;DET;FEM;SG FEM;N;SG NUM _ NUM _ 3;PRO;SG PRO 3;FIN;IND;PRS;SG;V FEM;PST;SG;V;V.PTCP ADP DET;MASC;SG MASC;N;SG _
tout en sachant que ce n' est là qu' un petit pas vers une plus grande sécurité en matière de transport , je vous prie d' approuver ce rapport .	tout en savoir que ce ne être là que un petit pas vers un plus grand sécurité en matière de transport , je vous prier de approuver ce rapport .	ADV ADP V;V.MSDR CONJ 3;PRO;SG NEG;PART 3;FIN;IND;PRS;SG;V ADV CONJ DET;INDF;MASC;SG ADJ;MASC;SG MASC;N ADP DET;FEM;INDF;SG ADV ADJ;FEM;SG FEM;N;SG ADP FEM;N;SG ADP MASC;N;SG _ 1;PRO;SG 2;PL;PRO 3;FIN;IND;PRS;SG;V ADP NFIN;V DET;MASC;SG MASC;N;SG _
l' acide oxalique est fait de deux molécules de dioxyde de carbone assemblées .	le acide oxalique être faire de deux molécule de dioxyde de carbone assembler .	DEF;DET;SG FEM;N;SG ADJ;SG 3;FIN;IND;PRS;SG;V MASC;PST;SG;V;V.PTCP ADP NUM FEM;N;PL ADP MASC;N;SG ADP MASC;N;SG FEM;PL;PST;V;V.PTCP _
des organes spécialisés ont été créés pour l' analyse technique de les contrefaçons dans les états membres , à la bce ( pour les billets ) et à la commission ( pour les pièces ) .	un organe spécialisé avoir être créer pour le analyse technique de le contrefaçons dans le état membre , à le bce ( pour le billets ) et à le commission ( pour le pièces ) .	DET;INDF;MASC;PL MASC;N;PL ADJ;MASC;PL 3;FIN;IND;PL;PRS;V MASC;PST;SG;V;V.PTCP MASC;PL;PST;V;V.PTCP ADP DEF;DET;SG FEM;N;SG ADJ;SG ADP DEF;DET;PL FEM;N;PL ADP DEF;DET;PL MASC;N;PL MASC;N;PL _ ADP DEF;DET;FEM;SG PROPN _ ADP DEF;DET;PL FEM;N;PL _ CONJ ADP DEF;DET;FEM;SG FEM;N;SG _ ADP DEF;DET;PL FEM;N;PL _ _
l' ordre de le jour appelle le rapport ( a5-0108 / 1999 ) de mme schroedter , à le nom de la commission de la politique régionale , de les transports et de le tourisme , sur la communication de la commission " les fonds structurels et leur coordination avec le fonds de cohésion . "	le ordre de le jour appelle le rapport ( a5-0108 / 1999 ) de madame schroedter , à le nom de le commission de le politique régional , de le transport et de le tourisme , sur le communication de le commission " le fond structurel et leur coordination avec le fond de cohésion . "	DEF;DET;SG MASC;N;SG ADP DEF;DET;SG MASC;N;SG 3;FIN;IND;PRS;SG;V DEF;DET;MASC;SG MASC;N;SG _ PROPN _ NUM _ ADP FEM;N PROPN _ ADP DEF;DET;MASC;SG MASC;N;SG ADP DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;FEM;SG FEM;N;SG ADJ;FEM;SG _ ADP DEF;DET;PL MASC;N;PL CONJ ADP DEF;DET;SG MASC;N;SG _ ADP DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;FEM;SG FEM;N;SG _ DEF;DET;PL MASC;N;PL ADJ;MASC;PL CONJ DET;FEM;SG FEM;N;SG ADP DEF;DET;MASC;SG MASC;N;PL ADP FEM;N;SG _ _
monsieur le président , je voudrais également féliciter le rapporteur pour son excellent travail .	monsieur le président , je vouloir également féliciter le rapporteur pour son excellent travail .	MASC;N;SG DEF;DET;MASC;SG MASC;N;SG _ 1;PRO;SG 1;COND;FIN;PRS;SG;V ADV NFIN;V DEF;DET;MASC;SG MASC;N;SG ADP DET;MASC;SG ADJ;MASC;SG MASC;N;SG _
2200 acres de superficie , 2000 ans d' age .	2200 acres de superficie , 2000 an de age .	NUM FEM;N;PL ADP FEM;N;SG _ NUM MASC;N;PL ADP FEM;N;SG _
en ce sens , je vous rappelle la résolution de le 15 septembre , laquelle recommandait que la proposition soit présentée dans les plus brefs délais .	en ce sens , je vous rappeler le résolution de le 15 septembre , lequel recommander que le proposition être présenter dans le plus bref délai .	ADP DET;MASC;SG MASC;N _ 1;PRO;SG 2;PL;PRO 1;FIN;IND;PRS;SG;V DEF;DET;FEM;SG FEM;N;SG ADP DEF;DET;SG NUM MASC;N;SG _ FEM;PRO;SG 3;FIN;IND;IPFV;SG;V CONJ DEF;DET;FEM;SG FEM;N;SG 3;FIN;PRS;SBJV;SG;V FEM;PST;SG;V;V.PTCP ADP DEF;DET;PL ADV ADJ;MASC;PL MASC;N;PL _
ces obligations d' attribution de paternité doivent être exécutées de manière raisonnable .	ces obligation de attribution de paternité devoir être exécutér de manière raisonnable .	DET;FEM;PL FEM;N;PL ADP FEM;N;SG ADP FEM;N;SG 3;FIN;IND;PL;PRS;V NFIN;V FEM;PL;PST;V;V.PTCP ADP FEM;N;SG ADJ;SG _
nous espérons également que la commission dotera les projets de les financements appropriés .	nous espérer également que le commission doter le projet de le financements approprié .	1;PL;PRO 1;FIN;IND;PL;PRS;V ADV CONJ DEF;DET;FEM;SG FEM;N;SG 3;FIN;FUT;IND;SG;V DEF;DET;PL MASC;N;PL ADP DEF;DET;PL MASC;N;PL ADJ;MASC;PL _
en outre , une enquête menée dans des ports belges , finnois et japonais a révélé que 50 pour cent de les conteneurs avec un chargement partiellement dangereux n' étaient pas correctement déchargés .	en outre , un enquête mener dans un ports belge , finnois et japonais avoir révélé que 50 pour cent de le conteneurs avec un chargement partiellement dangereux ne étayer pas correctement décharger .	ADP ADV _ DET;FEM;INDF;SG FEM;N;SG FEM;PST;SG;V;V.PTCP ADP DET;INDF;MASC;PL MASC;N;PL ADJ;PL _ ADJ;MASC CONJ ADJ;MASC 3;FIN;IND;PRS;SG;V MASC;PST;SG;V;V.PTCP CONJ NUM ADP MASC;N;SG ADP DEF;DET;PL MASC;N;PL ADP DET;INDF;MASC;SG MASC;N;SG ADV ADJ;MASC NEG;PART 3;FIN;IND;PL;PRS;V ADV;NEG ADV MASC;PL;PST;V;V.PTCP _
lorsque vous vous promenez à travers les paysages , il bondit dans les traces de vos pas en essayant de récupérer des débris .	lorsque vous vous promenez à travers le paysages , il bondit dans le traces de vos pas en essayer de récupérer un débris .	CONJ 2;PL;PRO 2;PL;PRO 2;FIN;IND;PL;PRS;V ADP MASC;N DEF;DET;PL FEM;N;PL _ 3;MASC;PRO;SG ADJ;SG ADP DEF;DET;PL FEM;N;PL ADP DET;MASC;PL MASC;N ADP V;V.MSDR ADP NFIN;V DET;FEM;INDF;PL FEM;N;PL _
