one huge opportunity .	one huge opportunity .	NUM ADJ N;SG _
are there any sadists out there who share the same tastes as i do ?	be there any sadist out there who share the same taste as i do ?	FIN;IND;PRS;V PRO DET N;PL ADV ADV PRO FIN;IND;PRS;V DEF;DET ADJ N;PL CONJ 1;NOM;PRO;SG FIN;IND;PRS;V _
james j. hoecker , the former federal energy regulatory commission chairman , defended making the december decision and also defended winter .	james j. hoecker , the former federal energy regulatory commission chairman , defend make the december decision and also defend winter .	PROPN;SG PROPN;SG PROPN;SG _ DEF;DET ADJ PROPN;SG PROPN;SG PROPN;SG PROPN;SG N;SG _ FIN;IND;PST;V V;V.MSDR DEF;DET PROPN;SG N;SG CONJ ADV FIN;IND;PST;V PROPN;SG _
civet cats are trapped and placed in small cages inside darkened sheds , where the temperature is kept up to 110 f by fires .	civet cat be trap and place in small cage inside darken shed , where the temperature be keep up to 110 f by fire .	N;SG N;PL FIN;IND;PRS;V PASS;PST;V;V.PTCP CONJ PST;V;V.PTCP ADP ADJ N;PL ADP PST;V;V.PTCP N;PL _ ADV DEF;DET N;SG 3;FIN;IND;PRS;SG;V PASS;PST;V;V.PTCP ADP ADP NUM PROPN;SG ADP N;PL _
my favorite place at wildwood	my favorite place at wildwood	1;PRO;SG ADJ N;SG ADP PROPN;SG
---	---	_
a sender purporting to be islamist sent cyanide in both early 2002 and early 2003 in new zealand and ingredients of nerve gas in belgium in 2003 .	a sender purport to be islamist send cyanide in both early 2002 and early 2003 in new zealand and ingredient of nerve gas in belgium in 2003 .	DET;INDF N;SG V;V.MSDR PART NFIN;V ADJ FIN;IND;PST;V N;SG ADP CONJ ADJ NUM CONJ ADJ NUM ADP PROPN;SG PROPN;SG CONJ N;PL ADP N;SG N;SG ADP PROPN;SG ADP NUM _
i 'm american and i am going to the uk for the first time , what should i expect ?	i be american and i be go to the uk for the first time , what should i expect ?	1;NOM;PRO;SG FIN;IND;PRS;V ADJ CONJ 1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V V;V.MSDR ADP DEF;DET PROPN;SG ADP DEF;DET ADJ N;SG _ PRO FIN;V 1;NOM;PRO;SG NFIN;V _
john -	john -	PROPN;SG _
we have limited time what are the best sights to see , geiven that we only have a short time ?	we have limited time what be the best sight to see , geiven that we only have a short time ?	1;NOM;PL;PRO FIN;IND;PRS;V ADJ N;SG PRO FIN;IND;PRS;V DEF;DET ADJ;RL N;PL PART NFIN;V _ PST;V;V.PTCP CONJ 1;NOM;PL;PRO ADV FIN;IND;PRS;V DET;INDF ADJ N;SG _
http://www.couchsurfing.org/	http://www.couchsurfing.org/	_
they have a great selection of wine from all over the world with all different prices .	they have a great selection of wine from all over the world with all different price .	3;NOM;PL;PRO FIN;IND;PRS;V DET;INDF ADJ N;SG ADP N;SG ADP ADV ADP DEF;DET N;SG ADP DET ADJ N;PL _
thanks for a great job	thanks for a great job	N;SG ADP DET;INDF ADJ N;SG
they save me from having to deal with tmobile ...	they save i from have to deal with tmobile ...	3;NOM;PL;PRO FIN;IND;PST;V 1;ACC;PRO;SG CONJ V;V.MSDR PART NFIN;V ADP PROPN;SG _
