հիմա , իհարկե , շատ ավելին գիտենք ։	հիմա , իհարկե , շատ ավելի գիտենալ ։	ADV _ PART _ ADJ DEF;N;NHUM;NOM;SG 1;ACT;FIN;IND;IPFV;PL;POS;PRS;V _
մենք պահանջում էինք ադրբեջանի կազմում հայաթափվող լեռնային ղարաբաղի ինքնավար մարզի միացումը հայաստանին ՝ մտքում իմանալով , որ մենք այսուհետ այլևս պահանջելու ենք :	մենք պահանջել եմ ադրբեջան կազմ հայաթափել լեռնային ղարաբաղ ինքնավար մարզ միացում հայաստան ՝ միտք իմանալ , որ մենք այսուհետ այլևս պահանջել եմ :	1;NOM;PL;PRO ACT;IPFV;V;V.PTCP 1;FIN;IND;IPFV;PL;POS;V DAT;INDF;NHUM;PROPN;SG ESS;INDF;N;NHUM;SG PASS;POS;V;V.PTCP ADJ DAT;INDF;NHUM;PROPN;SG ADJ DAT;INDF;N;NHUM;SG DEF;N;NHUM;NOM;SG DAT;DEF;NHUM;PROPN;SG _ ESS;INDF;N;NHUM;SG ACT;INDF;INS;POS;V;V.CVB _ CONJ 1;NOM;PL;PRO ADV ADV ACT;PROSP;V;V.PTCP 3;FIN;IND;IPFV;PL;POS;PRS;V _
հայտնի բլոգեր nas daily - ն , ով այս օրերին հայաստանում է , հրապարկել է մեկ րոպեանոց տեսանյութ « անվճար ջրի երկիր հայաստան » խորագրով :	հայտնի բլոգեր nas daily - ն , ով այս օր հայաստան եմ , հրապարակել եմ մեկ րոպեանոց տեսանյութ « անվճար ջուր երկիր հայաստան » խորագիր :	ADJ HUM;INDF;N;NOM;SG _ _ _ DEF;N;NHUM;NOM;SG _ NOM;PRO;SG DET DAT;DEF;N;NHUM;PL ESS;INDF;NHUM;PROPN;SG 3;FIN;IND;IPFV;POS;PRS;SG;V _ ACT;PFV;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V NUM ADJ INDF;N;NHUM;NOM;SG _ ADJ DAT;INDF;N;NHUM;SG INDF;N;NHUM;NOM;SG INDF;NHUM;NOM;PROPN;SG _ INDF;INS;N;NHUM;SG _
գնում էին նրանք , նայում էինք մենք նրանց ու իսկապես տեսնում ՝ ինչ - որ մի ուժ նրանց ընտրել է աշխարհի բոլոր կանանց ու տղամարդկանց միջից և դրել կողք - կողքի , բայց ինչ - որ բան էլ դրել նրանց արանքում ։	գնալ եմ նա , նայել եմ մենք նա ու իսկապես տեսնել ՝ ինչ - որ մի ուժ նա ընտրել եմ աշխարհ բոլոր կին ու տղամարդ մեջ և դնել կողք - կողք , բայց ինչ - որ բան էլ դնել նա արանք ։	IPFV;MID;V;V.PTCP 3;FIN;IND;IPFV;PL;POS;V 3;NOM;PL;PRO _ IPFV;MID;V;V.PTCP 1;FIN;IND;IPFV;PL;POS;V 1;NOM;PL;PRO 3;DAT;PL;PRO CONJ ADV ACT;IPFV;V;V.PTCP _ DET _ PART DET INDF;N;NHUM;NOM;SG 3;DAT;PL;PRO ACT;PFV;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V DAT;INDF;N;NHUM;SG DET DAT;HUM;INDF;N;PL CONJ DAT;HUM;INDF;N;PL ADP;AT+ABL;INDF CONJ ACT;PFV;V;V.PTCP INDF;N;NHUM;NOM;SG _ DAT;INDF;N;NHUM;SG _ CONJ DET _ PART INDF;N;NHUM;NOM;SG ADV ACT;PFV;V;V.PTCP 3;DET;GEN;PL ESS;INDF;N;NHUM;SG _
մի օր ծերացած խեչոն տղաներին ու հարսներին հանդ է հանել , ու պարագլուխ անցնելով , քոչարի է պարել ։	մի օր ծերանալ խեչո տղա ու հարս հանդ եմ հանել , ու պարագլուխ անցնել , քոչարի եմ պարել ։	DET INDF;N;NHUM;NOM;SG MID;PFV;POS;V;V.PTCP DEF;HUM;NOM;PROPN;SG DAT;DEF;HUM;N;PL CONJ DAT;DEF;HUM;N;PL INDF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;POS;PRS;SG;V ACT;PFV;V;V.PTCP _ CONJ HUM;INDF;N;NOM;SG INDF;INS;MID;POS;V;V.CVB _ INDF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;POS;PRS;SG;V MID;PFV;V;V.PTCP _
հհկ ներսում նոր խմբավորումը ՝ ի դեմս կարեն կարապետյանի և նրա թիմի , ակնհայտորեն դուրս է մղում ոչ միայն հներին , օդիոզ օլիգարխներին , այլ նաև սերժ սարգսյանի երիտասարդ բարեփոխիչներին :	հհկ ներս նոր խմբավորում ՝ ի դեմս կարեն կարապետյան և նա թիմ , ակնհայտորեն դուրս եմ մղել ոչ միայն հին , օդիոզ օլիգարխ , այլ նաև սերժ սարգսյան երիտասարդ բարեփոխիչ :	INDF;NHUM;NOM;PROPN;SG ESS;INDF;N;NHUM;SG ADJ DEF;N;NHUM;NOM;SG _ ADP ADP HUM;INDF;NOM;PROPN;SG DAT;HUM;INDF;PROPN;SG CONJ 3;DET;GEN;SG DAT;INDF;N;NHUM;SG _ ADV ADV 3;FIN;IND;IPFV;POS;PRS;SG;V ACT;IPFV;V;V.PTCP PART ADV DAT;DEF;HUM;N;PL _ ADJ DAT;DEF;HUM;N;PL _ CONJ CONJ HUM;INDF;NOM;PROPN;SG DAT;HUM;INDF;PROPN;SG ADJ DAT;DEF;HUM;N;PL _
« անսահմանափակ շարժում » ծրագրի երկրորդ մասը կարճ վավերագրական ֆիլմ էր ( https://www.youtube.com/watch?v=kuwy01y9sxsvl=hy ) , որի պրեմիերան տեղի ունեցավ 2016 թ - ի դեկտեմբերին հայկական բարեգործական ընդհանուր միությունում ( agbu ) :	« անսահմանափակ շարժում » ծրագիր երկրորդ մաս կարճ վավերագրական ֆիլմ եմ ( https://www.youtube.com/watch?v=kuwy01y9sxsvl=hy ) , որ պրեմիերա տեղի ունենալ 2016 թվական - ի դեկտեմբեր հայկական բարեգործական ընդհանուր միություն ( agbu ) :	_ ADJ INDF;N;NHUM;NOM;SG _ DAT;INDF;N;NHUM;SG ADJ DEF;N;NHUM;NOM;SG ADJ ADJ INDF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;POS;SG;V _ _ _ _ DET;GEN;SG DEF;N;NHUM;NOM;SG ADV 3;ACT;FIN;IND;PFV;POS;PST;SG;V NUM INDF;N;NHUM;NOM;SG _ DAT;INDF;N;NHUM;SG DAT;DEF;N;NHUM;SG ADJ ADJ ADJ ESS;INDF;N;NHUM;SG _ _ _ _
հակառակ բոլոր տոհմերի , մեր ազգությունն այս անգամ սկսվում է նախատատով ։	հակառակ բոլոր տոհմ , մենք ազգություն այս անգամ սկսվել եմ նախատատ ։	ADV DET DAT;HUM;INDF;N;PL _ 1;DET;GEN;PL DEF;HUM;N;NOM;SG DET INDF;N;NHUM;NOM;SG IPFV;MID;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V HUM;INDF;INS;N;SG _
« արմենպրես » - ի հաղորդմամբ ՝ պարային մասն ապահովեցին dj beatman - ը , arik k - ը , lucy sowa - ն և big bro - ն :	« արմենպրես » - ի հաղորդում ՝ պարային մաս ապահովել dj beatman - ը , arik k - ը , lucy sowa - ն և big bro - ն :	_ INDF;NHUM;NOM;PROPN;SG _ _ DAT;INDF;N;NHUM;SG INDF;INS;N;NHUM;SG _ ADJ DEF;N;NHUM;NOM;SG 3;ACT;FIN;IND;PFV;PL;POS;PST;V _ _ _ DEF;N;NHUM;NOM;SG _ _ _ _ DEF;N;NHUM;NOM;SG _ _ _ _ DEF;N;NHUM;NOM;SG CONJ _ _ _ DEF;N;NHUM;NOM;SG _
բայց մյուս կողմից էլ պալատական կյանքը ՝ կայսեր ու կայսրուհու , նրանց շրջապատող քահանաների , սարկավագների ու սաղմոսերգուների ընկերակցությունը , հոգնեցրել էր նրան :	բայց մյուս կողմ էլ պալատական կյանք ՝ կայսր ու կայսրուհի , նա շրջապատել քահանա , սարկավագ ու սաղմոսերգու ընկերակցություն , հոգնել եմ նա :	CONJ DET AT+ABL;INDF;N;NHUM;SG ADV ADJ DEF;N;NHUM;NOM;SG _ DAT;HUM;INDF;N;SG CONJ DAT;HUM;INDF;N;SG _ 3;DAT;PL;PRO ACT;POS;V;V.PTCP DAT;HUM;INDF;N;PL;PSSS _ DAT;HUM;INDF;N;PL CONJ DAT;HUM;INDF;N;PL DEF;N;NHUM;NOM;SG _ ACT;PFV;V;V.PTCP 3;FIN;IND;IPFV;POS;SG;V 3;DAT;DEF;PRO;SG _
մկաց աղբյուրը սուրբ էր համարվում , ջուրը ՝ բուժիչ ։	մկաց աղբյուր սուրբ եմ համարել , ջուր ՝ բուժիչ ։	ADJ DEF;N;NHUM;NOM;SG ADJ 3;FIN;IND;IPFV;POS;SG;V IPFV;PASS;V;V.PTCP _ DEF;N;NHUM;NOM;SG _ ADJ _
- դա այդքան էլ այդպես չէ :	- դա այդքան էլ այդպես եմ :	_ NOM;PRO;SG ADV PART PRO 3;FIN;IND;IPFV;NEG;PRS;SG;V _
կապի և տրանսպորտի նոր նախարար վահան մարտիրոսյանը այսօր հայտարարել է , որ բյուջետային միջոցների կրճատումը կազդի նաև հյուսիս - հարավ ավտոճանապարհի շինարարության վրա :	կապ և տրանսպորտ նոր նախարար վահան մարտիրոսյան այսօր հայտարարել եմ , որ բյուջետային միջոց կրճատում ազդել նաև հյուսիս - հարավ ավտոճանապարհ շինարարություն վրա :	DAT;INDF;N;NHUM;SG CONJ DAT;INDF;N;NHUM;SG ADJ HUM;INDF;N;NOM;SG HUM;INDF;NOM;PROPN;SG DEF;HUM;NOM;PROPN;SG INDF;N;NHUM;NOM;SG ACT;PFV;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V _ CONJ ADJ DAT;INDF;N;NHUM;PL DEF;N;NHUM;NOM;SG 3;ACT;COND;FIN;POS;PROSP;PRS;SG;V CONJ INDF;N;NHUM;NOM;SG _ INDF;N;NHUM;NOM;SG DAT;INDF;N;NHUM;SG DAT;INDF;N;NHUM;SG ADP;NOM _
զլատկո դալիչը վերջին խաղում մրցելու է ֆրանսիայի հետ :	զլատկո դալիչ վերջին խաղ մրցել եմ ֆրանսիա հետ :	HUM;INDF;NOM;PROPN;SG DEF;HUM;NOM;PROPN;SG ADJ ESS;INDF;N;NHUM;SG MID;PROSP;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V DAT;INDF;NHUM;PROPN;SG ADP _
տանը տասնչորս զավակ , աստծո պես և աստծո սկիզբ ծնողները , իր կողքին ՝ մի այլ տուն , հետո այդպիսի տներով իր քաղաքը , այդպիսի քաղաքներով իր երկիրը ։	տուն տասնչորս զավակ , աստված պես և աստված սկիզբ ծնող , ինքը կողք ՝ մի այլ տուն , հետո այդպիսի տուն ինքը քաղաք , այդպիսի քաղաք ինքը երկիր ։	DAT;DEF;N;NHUM;SG NUM HUM;INDF;N;NOM;SG _ DAT;HUM;INDF;N;SG ADP CONJ DAT;HUM;INDF;N;SG INDF;N;NHUM;NOM;SG DEF;HUM;N;NOM;PL _ 3;DET;GEN;REFL;SG DAT;DEF;N;NHUM;SG _ DET DET INDF;N;NHUM;NOM;SG _ ADV DET INDF;INS;N;NHUM;PL 3;DET;GEN;REFL;SG DEF;N;NHUM;NOM;SG _ DET INDF;INS;N;NHUM;PL 3;DET;GEN;REFL;SG DEF;N;NHUM;NOM;SG _
միաժամանակ , գրեթե զուգահեռ բաքու էր գնացել իրանի պաշտպանության նախարարը , ակնարկելով , որ թեհրանը չի ողջունի ռազմական լարման ավելացմանն ուղղված քայլերը :	միաժամանակ , գրեթե զուգահեռ բաքու եմ գնալ իրան պաշտպանություն նախարար , ակնարկել , որ թեհրան եմ ողջունել ռազմական լարում ավելացում ուղղել քայլ :	ADV _ ADV ADV INDF;NHUM;NOM;PROPN;SG 3;FIN;IND;IPFV;POS;SG;V MID;PFV;V;V.PTCP DAT;INDF;NHUM;PROPN;SG DAT;INDF;N;NHUM;SG DEF;HUM;N;NOM;SG _ ACT;INDF;INS;POS;V;V.CVB _ CONJ DEF;NHUM;NOM;PROPN;SG 3;FIN;IND;IPFV;NEG;PRS;SG;V ACT;COND;FIN;PROSP;V ADJ DAT;INDF;N;NHUM;SG DAT;DEF;N;NHUM;SG PASS;PFV;POS;V;V.PTCP DEF;N;NHUM;NOM;PL _
սակայն երեխաները մեռած էին ծնվում ։	սակայն երեխա մեռնել եմ ծնվել ։	CONJ DEF;HUM;N;NOM;PL MID;PFV;POS;V;V.PTCP 3;FIN;IND;IPFV;PL;POS;V IPFV;MID;V;V.PTCP _
ժամանակի ընթացքում խաղաղապահ ուժերի վիճակն ու ներկայությունն ավելի ու ավելի կախված է լինելու ադրբեջանից :	ժամանակ ընթացք խաղաղապահ ուժ վիճակ ու ներկայություն ավելի ու ավելի կախվել եմ լինել ադրբեջան :	DAT;INDF;N;NHUM;SG ESS;INDF;N;NHUM;SG ADJ DAT;INDF;N;NHUM;PL DEF;N;NHUM;NOM;SG CONJ DEF;N;NHUM;NOM;SG ADV;CMPR CONJ ADV;CMPR MID;PFV;POS;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V PROSP;V;V.PTCP AT+ABL;INDF;NHUM;PROPN;SG _
հունվարի վերջի դրությամբ մեծ սևանի ծավալը եղել է 24,04 մլրդ խմ , իսկ փոքրինը ` 14,07 մլրդ :	հունվար վերջ դրություն մեծ սևան ծավալ լինել եմ 24,04 միլիարդ խմ , իսկ փոքրի ` 14,07 միլիարդ :	DAT;INDF;N;NHUM;SG DAT;INDF;N;NHUM;SG INDF;INS;N;NHUM;SG ADJ DAT;INDF;NHUM;PROPN;SG DEF;N;NHUM;NOM;SG MID;PFV;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V NUM NUM INDF;N;NHUM;NOM;SG _ CONJ DEF;N;NHUM;NOM;PSSS;SG _ NUM INDF;N;NHUM;NOM;SG _
ինչպես պուտինն ասաց ՝ « ում ՞ է պետք աշխարհը , եթե ռուսաստան չի լինելու » :	ինչպես պուտին ասել ՝ « ով ՞ եմ պետք աշխարհ , եթե ռուսաստան եմ լինել » :	ADV DEF;HUM;NOM;PROPN;SG 3;ACT;FIN;IND;PFV;POS;PST;SG;V _ _ DAT;PRO;SG _ 3;FIN;IND;IPFV;POS;PRS;SG;V ADJ DEF;N;NHUM;NOM;SG _ CONJ INDF;NHUM;NOM;PROPN;SG 3;FIN;IND;IPFV;NEG;PRS;SG;V MID;PROSP;V;V.PTCP _ _
ինքը փախել , մտել էր գոմը ՝ մորն ու իր վիժածը երես - երեսի թողած ...	ինքը փախչել , մտնել եմ գոմ ՝ մայր ու ինքը վիժած երես - երես թողնել ...	3;NOM;PRO;SG MID;PFV;V;V.PTCP _ MID;PFV;V;V.PTCP 3;FIN;IND;IPFV;POS;SG;V DEF;N;NHUM;NOM;SG _ DAT;DEF;HUM;N;SG CONJ 3;DET;GEN;REFL;SG DEF;HUM;N;NOM;SG INDF;N;NHUM;NOM;SG _ DAT;INDF;N;NHUM;SG ACT;PFV;POS;V;V.PTCP _
ոչ ոք չգիտեր , թե այդ կինը երբ և որտեղից է հայտնվել ։	ոչ ոք գիտենալ , թե այդ կին երբ և որտեղ եմ հայտնվել ։	PART NOM;PRO 3;ACT;FIN;IND;IPFV;NEG;SG;V _ CONJ DET DEF;HUM;N;NOM;SG ADV CONJ AT+ABL;PRO;SG 3;FIN;IND;IPFV;POS;PRS;SG;V MID;PFV;V;V.PTCP _
ոգի էր այդ կինը , շող , թե անեծք , բայց միշտ ուղեկցել է մարտինին , միշտ սև տան վրա եղել ։	ոգի եմ այդ կին , շող , թե անեծք , բայց միշտ ուղեկցել եմ մարտին , միշտ սև տուն վրա լինել ։	INDF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;POS;SG;V DET DEF;HUM;N;NOM;SG _ INDF;N;NHUM;NOM;SG _ CONJ INDF;N;NHUM;NOM;SG _ CONJ ADV MID;PFV;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V DAT;DEF;HUM;PROPN;SG _ ADV ADJ DAT;INDF;N;NHUM;SG ADP;NOM MID;PFV;V;V.PTCP _
ադրբեջանի նկատմամբ արևմուտքը կտրական վերապահումներ ունի ժողովրդավարական հարցերում , թուրքական և իսլամական աշխարհներում նրա հաճախակիորեն անցանկալի դիրքորոշումների վերաբերյալ և այլն :	ադրբեջան նկատմամբ արևմուտք կտրական վերապահում ունենալ ժողովրդավարական հարց , թուրքական և իսլամական աշխարհ նա հաճախակիորեն անցանկալի դիրքորոշում վերաբերյալ և այլն :	DAT;INDF;NHUM;PROPN;SG ADP DEF;N;NHUM;NOM;SG ADJ INDF;N;NHUM;NOM;PL 3;ACT;FIN;IND;IPFV;POS;PRS;SG;V ADJ ESS;INDF;N;NHUM;PL _ ADJ CONJ ADJ ESS;INDF;N;NHUM;PL 3;DET;GEN;SG ADV ADJ DAT;INDF;N;NHUM;PL ADP CONJ PRO _
ավանդական « քաղաքական գործիչները » փորձում են քաղտեխնոլոգիաներին հակադրել ֆիզիկական ուժն ու հին գողական « պանյատները » :	ավանդական « քաղաքական գործիչ » փորձել եմ քաղտեխնոլոգիա հակադրել ֆիզիկական ուժ ու հին գողական « պանյատ » :	ADJ _ ADJ DEF;HUM;N;NOM;PL _ ACT;IPFV;V;V.PTCP 3;FIN;IND;IPFV;PL;POS;PRS;V DAT;DEF;N;NHUM;PL ACT;NFIN;POS;V ADJ DEF;N;NHUM;NOM;SG CONJ ADJ ADJ _ DEF;N;NHUM;NOM;PL _ _
ով էլ լիներ մեր փոխարեն , եթե ուներ սուր աչք , մի քիչ ցավող սիրտ , մի քիչ էլ տեղյակ լիներ այդ տան պատմությանն ու մարտինի մոր ՝ սիրանույշի վերջին մի քանի օրվա իրարանցմանը , կմտածեր , որ մարտին սահակյանը , անծանոթուհուն կողքը գցած , մինչև մեր 5-րդ փողոց է քայլում առնվազն այնտեղից , որտեղ գտնվում էր դեռ երեկ , որտեղ երեկ նրան գտել էր մեր ուղարկած հեռագիրը , և որ նա , իրոք , ոտքով է անցել այն ամբողջ ճանապարհը , որը իրականում կտրել է ժամանակակից ռեակտիվ ինքնաթիռներով ու արագընթաց մեքենաներով ։	ով էլ լինել մենք փոխարեն , եթե ունենալ սուր աչք , մի քիչ ցավել սիրտ , մի քիչ էլ տեղյակ լինել այդ տուն պատմություն ու մարտին մայր ՝ սիրանույշ վերջին մի քանի օր իրարանցում , մտածել , որ մարտին սահակյան , անծանոթուհի կողք գցել , մինչև մենք 5-րդ փողոց եմ քայլել առնվազն այնտեղ , որտեղ գտնվել եմ դեռ երեկ , որտեղ երեկ նա գտնել եմ մենք ուղարկել հեռագիր , և որ նա , իրոք , ոտք եմ անցնել այն ամբողջ ճանապարհ , որ իրականում կտրել եմ ժամանակակից ռեակտիվ ինքնաթիռ ու արագընթաց մեքենա ։	NOM;PRO;SG ADV 3;FIN;IPFV;MID;POS;PROSP;SBJV;SG;V 1;GEN;PL;PRO ADP _ CONJ 3;ACT;FIN;IND;IPFV;POS;SG;V ADJ INDF;N;NHUM;NOM;SG _ DET ADV ACT;POS;V;V.PTCP INDF;N;NHUM;NOM;SG _ DET ADV ADV ADJ 3;FIN;IPFV;POS;PROSP;SBJV;SG;V DET DAT;INDF;N;NHUM;SG DAT;DEF;N;NHUM;SG CONJ DAT;HUM;INDF;PROPN;SG DAT;HUM;INDF;N;SG _ DAT;HUM;INDF;PROPN;SG ADJ DET DET DAT;INDF;N;NHUM;SG DAT;DEF;N;NHUM;SG _ 3;ACT;COND;FIN;IPFV;POS;PROSP;SG;V _ CONJ HUM;INDF;NOM;PROPN;SG DEF;HUM;NOM;PROPN;SG _ DAT;DEF;HUM;N;SG DEF;N;NHUM;NOM;SG ACT;PFV;POS;V;V.PTCP _ ADP 1;DET;GEN;PL ADJ INDF;N;NHUM;NOM;SG 3;FIN;IND;IPFV;POS;PRS;SG;V IPFV;MID;V;V.PTCP ADV AT+ABL;PRO;SG _ ADV IPFV;MID;V;V.PTCP 3;FIN;IND;IPFV;POS;SG;V ADV ADV _ ADV ADV 3;DAT;DEF;PRO;SG ACT;PFV;V;V.PTCP 3;FIN;IND;IPFV;POS;SG;V 1;DET;GEN;PL ACT;PFV;POS;V;V.PTCP DEF;N;NHUM;NOM;SG _ CONJ CONJ 3;NOM;PRO;SG _ PART _ INDF;INS;N;NHUM;SG 3;FIN;IND;IPFV;POS;PRS;SG;V ACT;PFV;V;V.PTCP DET DET DEF;N;NHUM;NOM;SG _ DEF;NOM;PRO;SG ADV ACT;PFV;V;V.PTCP 3;FIN;IND;IPFV;POS;PRS;SG;V ADJ ADJ INDF;INS;N;NHUM;PL CONJ ADJ INDF;INS;N;NHUM;PL _
կայսրը և ժողովուրդը իրենց բախտը վստահում են մեզ , իսկ մենք հույսը միայն մեզ վրա կարող ենք դնել :	կայսր և ժողովուրդ ինքը բախտ վստահել եմ մենք , իսկ մենք հույս միայն մենք վրա կարող եմ դնել :	DEF;HUM;N;NOM;SG CONJ DEF;HUM;N;NOM;SG 3;DET;GEN;PL;REFL DEF;N;NHUM;NOM;SG ACT;IPFV;V;V.PTCP 3;FIN;IND;IPFV;PL;POS;PRS;V 1;DAT;PL;PRO _ CONJ 1;NOM;PL;PRO DEF;N;NHUM;NOM;SG ADV 1;DAT;PL;PRO ADP;NOM ADJ 3;FIN;IND;IPFV;PL;POS;PRS;V ACT;NFIN;POS;V _
