ریاستی چیف الکٹورل آفس کے باوثوق ذرائع نے یہ بات کہی اور بتایا کہ صرف اےک حلقہ لوک سبھا کڑپہ و حلقہ اسمبلی پولی ویندلہ مےں انتخابی شکایات کا یہ اےک ریکارڈ ہے ۔	ریاستی چیف الکٹورل آفس کا باوثوق ذرائع نے یہ بات کہہ اور بتا کہ صرف اےک حلقہ لوک سبھا کڑپہ و حلقہ اسمبلی پولی ویندلہ مےں انتخابی شکایت کا یہ اےک ریکارڈ ہے ۔	ACC;ADJ 3;MASC;N;NOM;SG 3;MASC;N;NOM;SG 3;ACC;MASC;N;SG ACC;ADP;MASC;SG ACC;ADJ 3;ACC;MASC;N;SG ADP 3;DET;NOM;SG 3;FEM;N;NOM;SG ACT;FEM;PFV;SG;V;V.PTCP CONJ ACT;MASC;PFV;SG;V;V.PTCP CONJ PART NUM 3;ACC;MASC;N;SG 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG 3;ACC;MASC;PROPN;SG CONJ 3;MASC;N;NOM;SG 3;MASC;N;NOM;SG 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG ADP ACC;ADJ 3;ACC;FEM;N;PL ADP;MASC;NOM;SG 3;NOM;PRO;SG NUM 3;MASC;N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V _
بعد ازاں مارلاپلی کے قریب بابرہ ندی پر 88 لاکھ روپیوں کے صرفہ سے تعمیرکردہ پل کا افتتاح انجام دیا گیا ۔	بعد ازاں مارلاپلی کے قریب بابرہ ندی پر 88 لاکھ روپیہ کا صرفہ سے تعمیرکردہ پل کا افتتاح انجام دے جا ۔	ADP PRO 3;ACC;MASC;PROPN;SG ADP 3;ADP;MASC;NOM;SG 3;FEM;NOM;PROPN;SG 3;ACC;FEM;PROPN;SG ADP NUM NUM 3;ACC;MASC;N;PL ACC;ADP;MASC;SG 3;ACC;MASC;N;SG ADP ACC;ADJ 3;ACC;MASC;N;SG ACC;ADP;MASC;SG 3;MASC;N;NOM;SG 3;MASC;N;NOM;SG ACT;MASC;PFV;SG;V;V.PTCP MASC;PFV;SG;V;V.PTCP _
دونوں خاندانوں مےں جانشینی کی جنگ کے بارے مےں میڈیا رپورٹس کی تردید کے لیے مسٹر ہری کرشنا یا جونیر این ٹی آر نے تاحال کبھی کوئی پہل نہیں کی , لیکن این ٹی آر کے سب سے بڑے بیٹے مسٹر ہری کرشنا نے گذشتہ ہفتہ مسٹر نائیڈو سے ملاقات کرتے ہوئے انہیں 5 مئی کو اپنے جونیر این ٹی آر کی شادی کی دعوت دی تھی ,	دو خاندان مےں جانشینی کا جنگ کے بارہ مےں میڈیا رپورٹس کا تردید کے لئے مسٹر ہری کرشنا یا جونیر این ٹی آر نے تاحال کبھی کوئی پہل نہیں کر , لیکن این ٹی آر کے سب سے بڑا بیٹہ مسٹر ہری کرشنا نے گذشتہ ہفتہ مسٹر نائیڈو سے ملاقات کر ہو یہ 5 مئی کو اپنا جونیر این ٹی آر کا شادی کا دعوت دے تھا ,	NUM 3;ACC;MASC;N;PL ADP 3;ACC;MASC;N;SG ADP;FEM;NOM;SG 3;ACC;FEM;N;SG ACC;ADP;MASC;SG ACC;ADP;MASC;SG ADP 3;FEM;N;NOM;SG 3;ACC;FEM;N;SG ADP;FEM;NOM;SG 3;ACC;FEM;N;SG ADP ADP PART 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG CONJ 3;MASC;NOM;PROPN;SG 3;MASC;NOM;PROPN;SG 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG ADP ADV ADV 3;DET;NOM;SG 3;MASC;N;NOM;SG NEG;PART ACT;FEM;PFV;SG;V;V.PTCP _ CONJ 3;MASC;NOM;PROPN;SG 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG ACC;ADP;MASC;SG DET ADP ADJ;MASC;NOM;SG 3;ACC;MASC;N;SG PART 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG ADP ADJ;NOM 3;MASC;N;NOM;SG PART 3;ACC;MASC;PROPN;SG ADP 3;MASC;N;NOM;SG IPFV;MASC;SG;V;V.PTCP PFV;SG;V;V.PTCP 3;FORM;PRO;SG;{ACC/DAT} 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG ADP ACC;PRO 3;MASC;NOM;PROPN;SG 3;MASC;NOM;PROPN;SG 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG ADP;FEM;NOM;SG 3;ACC;FEM;N;SG ADP;FEM;NOM;SG 3;FEM;N;NOM;SG ACT;FEM;PFV;SG;V;V.PTCP 3;FEM;FIN;IND;PST;SG;V _
مولانا رابع ندی 22 اپریل کو حیدرآباد پہنچ رہے ہےں ۔	مولانا رابع ندی 22 اپریل کو حیدرآباد پہنچ رہ ہے ۔	3;MASC;N;NOM;SG 3;MASC;NOM;PROPN;SG 3;MASC;NOM;PROPN;SG 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG ADP 3;MASC;NOM;PROPN;SG ACT;V 3;FORM;MASC;PFV;SG;V;V.PTCP 3;FIN;FORM;IND;PRS;SG;V _
یہ سریندر کی داستان ہے ۔	یہ سریندر کا داستان ہے ۔	3;NOM;PRO;SG 3;ACC;MASC;PROPN;SG ADP;FEM;NOM;SG 3;MASC;N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V _
پسماندگان مےں اہلیہ کے علاوہ 7 لڑکیاں شامل ہےں ۔	پسماندگان مےں اہلیہ کے علاوہ 7 لڑکی شامل ہے ۔	3;ACC;MASC;N;SG ADP 3;ACC;FEM;N;SG ADP ADP NUM 3;FEM;N;NOM;PL ADJ;NOM 3;ACT;FIN;IND;PL;PRS;V _
اےک ہندوستان ایسا ہے جہاں ہر طرح کی اعلی_ترین سہولیات اور عیش و عشرت دستیاب ہے جبکہ دوسرا ہندوستان , جسے اصل ہندوستان بھی کہا جا سکتا ہے , ایسا ہے جو ہنوز غربت اور بھوک و افلاس مےں ڈوبا ہوا ہے ۔	اےک ہندوستان ایسا ہے جہاں ہر طرح کا اعلی_ترین سہولیت اور عیش و عشرت دستیاب ہے جبکہ دوسرا ہندوستان , جو اصل ہندوستان بھی کہہ جا سک ہے , ایسا ہے جو ہنوز غربت اور بھوک و افلاس مےں ڈوب ہو ہے ۔	NUM 3;MASC;NOM;PROPN;SG MASC;NOM;PRO;SG 3;ACT;FIN;IND;PRS;SG;V NOM;PRO ACC;ADJ 3;ACC;MASC;N;SG ADP;FEM;NOM;SG ADJ;NOM 3;FEM;N;NOM;PL CONJ 3;MASC;N;NOM;SG CONJ 3;MASC;N;NOM;SG ADJ 3;ACT;FIN;IND;PRS;SG;V CONJ ADJ;MASC;NOM;SG 3;ACC;MASC;PROPN;SG _ 3;PRO;SG;{ACC/DAT} ADJ;NOM 3;MASC;NOM;PROPN;SG PART ACT;MASC;PFV;SG;V;V.PTCP V IPFV;MASC;SG;V;V.PTCP 3;FIN;IND;PRS;SG;V _ MASC;NOM;PRO;SG 3;ACT;FIN;IND;PRS;SG;V PRO ADV 3;ACC;MASC;N;SG CONJ 3;ACC;MASC;N;SG CONJ 3;ACC;MASC;N;SG ADP ACT;MASC;PFV;SG;V;V.PTCP MASC;PFV;SG;V;V.PTCP 3;FIN;IND;PRS;SG;V _
دھماکو اوپنر شین واٹسن صرف بارہ رن بنا سکے ۔	دھماکو اوپنر شین واٹسن صرف بارہ رن بن سک ۔	ADJ;NOM 3;ACC;MASC;N;SG 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG PART NUM 3;MASC;N;NOM;SG ACT;MASC;PFV;SG;V;V.PTCP MASC;PFV;SG;V;V.PTCP _
واضح رہے کہ سی بی آئی نے مکہ مسجد بم دھماکے کیس مےں ملوث تین ملزمین سوامی اسیمانند , دیویندر گپتا اور لوکیش شرما کو گرفتار کیا اور دو ملزمین کے خلاف چارج شیٹ بھی داخل کی ۔	واضح رہ کہ سی بی آئی نے مکہ مسجد بم دھماکے کیس مےں ملوث تین ملزم سوامی اسیمانند , دیویندر گپتا اور لوکیش شرما کو گرفتار کر اور دو ملزم کے خلاف چارج شیٹ بھی داخل کر ۔	ADJ ACT;MASC;PFV;PL;V;V.PTCP CONJ 3;MASC;NOM;PROPN;SG 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG ADP 3;MASC;NOM;PROPN;SG 3;FEM;NOM;PROPN;SG 3;MASC;NOM;PROPN;SG 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG ADP ADJ NUM 3;MASC;N;NOM;PL 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG _ 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG CONJ 3;MASC;NOM;PROPN;SG 3;ACC;MASC;PROPN;SG ADP ADJ ACT;MASC;PFV;SG;V;V.PTCP CONJ NUM 3;ACC;MASC;N;PL ADP ADP;NOM 3;MASC;N;NOM;SG 3;ACC;FEM;N;SG PART 3;MASC;N;NOM;SG ACT;FEM;PFV;SG;V;V.PTCP _
انہوں نے کہا کہ یہی پیشترفت کا واحد راستہ ہے تاکہ اےک دوسرے کو سمجھنے اور ضروریات کا احساس کرنے کو یقینی بنایا جا سکے ۔	وہ نے کہہ کہ یہ پیشترفت کا واحد راستہ ہے تاکہ اےک دوسرا کو سمجھ اور ضرورت کا احساس کر کو یقینی بنا جا سک ۔	3;ACC;FORM;PRO;SG ADP ACT;MASC;PFV;SG;V;V.PTCP CONJ ACC;PRO;SG 3;ACC;MASC;N;SG ADP;MASC;NOM;SG ADJ;NOM 3;MASC;N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V CONJ MASC;NOM;PRO;SG ACC;MASC;PRO;SG ADP ACC;NFIN;V CONJ 3;ACC;FEM;N;PL ADP;MASC;NOM;SG 3;ACC;MASC;N;SG ACC;NFIN;V ADP ADJ MASC;PASS;PFV;SG;V;V.PTCP V MASC;PFV;PL;V;V.PTCP _
