suosittelisin , että sellaiset ihmiset menisivät nyt itseensä .	suositella , että sellainen ihminen mennä nyt itse .	1;ACT;COND;FIN;SG;V _ CONJ DET;NOM;PL N;NOM;PL 3;ACT;COND;FIN;PL;V ADV IN+ALL;PRO;PSS3;REFL;SG _
et katsonut	ei katsoa	2;ACT;FIN;NEG;SG;V ACT;FIN;IND;PST;SG;V
ihmisten suhtautuminen on vailla realistisia perusteita .	ihminen suhtautuminen olla vailla realistinen peruste .	GEN;N;PL N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V ADP ADJ;PL;PRT N;PL;PRT _
johannes paavali ii istahti nojatuoliin	johannes paavali ii istahtaa nojatuoli	NOM;PROPN;SG NOM;PROPN;SG NUM 3;ACT;FIN;IND;PST;SG;V IN+ALL;N;SG
soita haverinen kelloa jos alkaa juomat loppua .	soittaa haverinen kello jos alkaa juoma loppua .	2;ACT;FIN;IMP;SG;V NOM;PROPN;SG N;PRT;SG CONJ 3;ACT;FIN;IND;PRS;SG;V N;NOM;PL ACT;NFIN;V _
mukavan nopea	mukava nopea	ADJ;GEN;SG ADJ;NOM;SG
kirsi odotti hetken , meni sitten katsomaan .	kirsi odottaa hetki , mennä sitten katsoa .	NOM;PROPN;SG 3;ACT;FIN;IND;PST;SG;V GEN;N;SG _ 3;ACT;FIN;IND;PST;SG;V ADV ACT;IN+ALL;NFIN;V _
kiertäen kaartaen	kiertää kaartaa	ACT;INS;NFIN;V ACT;INS;NFIN;V
lapseni paras ystävä täytti kolme vuotta .	lapsi paras ystävä täyttää kolme vuosi .	GEN;N;PSS1S;SG ADJ;NOM;RL;SG N;NOM;SG 3;ACT;FIN;IND;PST;SG;V NOM;NUM;SG N;PRT;SG _
devalaiset äänestyttivät ja merkityttivät pöytäkirjaan eriävät mielipiteensä uusiin virkoihin valittujen palkankorotuksista .	devalainen äänestyttää ja merkityttää pöytäkirja eriävä mielipide uusi virka valita palkankorotus .	N;NOM;PL 3;ACT;FIN;IND;PL;PST;V CONJ 3;ACT;FIN;IND;PL;PST;V IN+ALL;N;SG ADJ;NOM;PL N;NOM;PL;PSS3 ADJ;IN+ALL;PL IN+ALL;N;PL GEN;PASS;PL;V;V.PTCP IN+ABL;N;PL _
onpa täällä kuuma !	olla täällä kuuma !	3;ACT;FIN;IND;PRS;SG;V ADV ADJ;NOM;SG _
lapset eivät huomanneet minua .	lapsi ei huomata minä .	N;NOM;PL 3;ACT;FIN;NEG;PL;V ACT;FIN;IND;PL;PST;V 1;PRO;PRT;SG _
näyttääkö mikään ikään kuin tutulta ?	näyttää mikään ikään kuin tuttu ?	3;ACT;FIN;IND;PRS;SG;V NOM;PRO;SG ADV CONJ ADJ;AT+ABL;SG _
sinä olet paras ystäväni .	sinä olla paras ystävä .	2;NOM;PRO;SG 2;ACT;FIN;IND;PRS;SG;V ADJ;NOM;RL;SG N;NOM;PSS1S;SG _
miksi minä olin täällä ?	miksi minä olla täällä ?	ADV 1;NOM;PRO;SG 1;ACT;FIN;IND;PST;SG;V ADV _
seppä hörppää haaleankitkerän kahvitilkan kupistaan .	seppä hörpätä haaleankitkerä kahvitilkka kuppi .	NOM;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V ADJ;GEN;SG GEN;N;SG IN+ABL;N;PSS3;SG _
emme kerro	ei kertoa	1;ACT;FIN;NEG;PL;V ACT;FIN;IND;PRS;V
ja toisen niistä tytöistä sitten piti mennä takaisin sinne siivoamaan ja laittaan sitä .	ja toinen ne tyttö sitten pitää mennä takaisin sinne siivota ja laittaa se .	CONJ DET;GEN;SG DET;IN+ABL;PL IN+ABL;N;PL ADV 3;ACT;FIN;IND;PST;SG;V ACT;NFIN;V ADV ADV ACT;IN+ALL;NFIN;V CONJ ACT;IN+ALL;NFIN;V PRO;PRT;SG _
tutkijat löysivät runsaasti hyönteisiä .	tutkija löytää runsaasti hyönteinen .	N;NOM;PL 3;ACT;FIN;IND;PL;PST;V ADV N;PL;PRT _
26- ja 32-senttiset lohenpoikaset	26- ja 32-senttinen lohenpoikanen	_ CONJ ADJ;NOM;PL N;NOM;PL
veneet saa vaivatta vesille ja 80 markan vuosiluvalla pääsee vetämään liki rajoituksetta kaupungin ja muroleen väliä .	vene saada vaiva vesi ja 80 markka vuosilupa päästä vetää liki rajoitus kaupunki ja murole väli .	N;NOM;PL 3;ACT;FIN;IND;PRS;SG;V N;PRIV;SG AT+ALL;N;PL CONJ NUM GEN;N;SG AT+ESS;N;SG 3;ACT;FIN;IND;PRS;SG;V ACT;IN+ALL;NFIN;V PART N;PRIV;SG GEN;N;SG CONJ GEN;PROPN;SG N;PRT;SG _
meillä täytyisi olla parempi teltta .	me täytyä olla parempi teltta .	1;AT+ESS;PL;PRO 3;ACT;COND;FIN;SG;V ACT;NFIN;V ADJ;CMPR;NOM;SG N;NOM;SG _
tupakointi esimerkiks meillä koulussa alko jossaiv viidennellä ja kuudennella luokalla , viinan käyttö , normaalisti jossain seitsemännellä ,	tupakointi esimerkiksi me koulu alkaa jossain viides ja kuudes luokka , viina käyttö , normaalisti jossain seitsemäs ,	N;NOM;SG ADV 1;AT+ESS;PL;PRO IN+ESS;N;SG 3;ACT;FIN;IND;PST;SG;V ADV ADJ;AT+ESS;SG CONJ ADJ;AT+ESS;SG AT+ESS;N;SG _ GEN;N;SG N;NOM;SG _ ADV ADV ADJ;AT+ESS;SG _
kotiin tullessa voi heittää puolet hk:n sinisestä lenkistä mikrouuniin , ja sillä aikaa kun on avannut postin ja kengännauhat , ateria on valmistunut .	koti tulla voida heittää puoli hk sininen lenkki mikrouuni , ja se aika kun olla avata posti ja kengännauha , ateria olla valmistua .	IN+ALL;N;SG ACT;IN+ESS;NFIN;V 3;ACT;FIN;IND;PRS;SG;V ACT;NFIN;V NOM;NUM;PL GEN;PROPN;SG ADJ;IN+ABL;SG IN+ABL;N;SG IN+ALL;N;SG _ CONJ AT+ESS;DET;SG N;PRT;SG CONJ 3;ACT;FIN;IND;PRS;SG;V ACT;NOM;SG;V;V.PTCP GEN;N;SG CONJ N;NOM;PL _ N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V ACT;NOM;SG;V;V.PTCP _
esitys on näyttävä ja keveä marenkipiiras , jossa sitruunana on rva behnin mukavasti kirpeä naisnäkökulma .	esitys olla näyttävä ja keveä marenkipiiras , joka sitruuna olla rva behn mukavasti kirpeä naisnäkökulma .	N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V ADJ;NOM;SG CONJ ADJ;NOM;SG N;NOM;SG _ IN+ESS;PRO;SG FRML;N;SG 3;ACT;FIN;IND;PRS;SG;V N;NOM;SG GEN;PROPN;SG ADV ADJ;NOM;SG N;NOM;SG _
mies joutui vakuutuspetoksesta vankilaan	mies joutua vakuutuspetos vankila	N;NOM;SG 3;ACT;FIN;IND;PST;SG;V IN+ABL;N;SG IN+ALL;N;SG
tässä teidän laskelmissa niin oliko se niin että siinä oli lopulta kahdenkymmenentuhannen työpaikan ero .	tämä te laskelma niin olla se niin että se olla lopulta kaksikymmentätuhatta työpaikka ero .	DET;IN+ESS;SG 2;DET;GEN;PL IN+ESS;N;PL PART 3;ACT;FIN;IND;PST;SG;V NOM;PRO;SG ADV CONJ IN+ESS;PRO;SG 3;ACT;FIN;IND;PST;SG;V ADV GEN;NUM;SG GEN;N;SG N;NOM;SG _
mitä sinä siitä minua syytät ?	mitä sinä se minä syyttää ?	ADV 2;NOM;PRO;SG IN+ABL;PRO;SG 1;PRO;PRT;SG 2;ACT;FIN;IND;PRS;SG;V _
hänet sidottakoon vartiovuoren huipulle ja jätettäköön sinne ruoatta ja juomatta , kunnes kuolee .	hän sitoa vartiovuori huippu ja jättää sinne ruoka ja juoda , kunnes kuolla .	3;ACC;PRO;SG FIN;IMP;PASS;V GEN;N;SG AT+ALL;N;SG CONJ FIN;IMP;PASS;V ADV N;PRIV;SG CONJ ACT;NFIN;PRIV;V _ CONJ 3;ACT;FIN;IND;PRS;SG;V _
vihreässä langassa oli ollut juuri palme-requiem ja muistelimme missä olimme itse kuulleet uutisen .	vihreä lanka olla olla juuri palme-requiem ja muistella missä olla itse kuulla uutinen .	ADJ;IN+ESS;SG IN+ESS;N;SG 3;ACT;FIN;IND;PST;SG;V ACT;NOM;SG;V;V.PTCP ADV N;NOM;SG CONJ 1;ACT;FIN;IND;PL;PST;V ADV 1;ACT;FIN;IND;PL;PST;V NOM;PRO;REFL;SG ACT;NOM;PL;V;V.PTCP GEN;N;SG _
kasvavia lajeja ovat mm. talousrikollisuus ja rahanväärennökset .	kasvaa laji olla mm. talousrikollisuus ja rahanväärennös .	ACT;PL;PRT;V;V.PTCP N;PL;PRT 3;ACT;FIN;IND;PL;PRS;V PART N;NOM;SG CONJ N;NOM;PL _
