誒 ， 由 七點半 就 做 到 十一點半 。	誒 ， 由 七點半 就 做 到 十一點半 。	INTJ _ ADP N ADV V ADP N _
都 唔 閃 嘅 ！	都 唔 閃 嘅 ！	ADV ADV ADJ PART _
ｏｋ ， 好 ， 掰掰 ！	ｏｋ ， 好 ， 掰掰 ！	V _ ADJ _ V _
你 阿媽 唔 得閒 呀 。	你 阿媽 唔 得閒 呀 。	PRO N ADV ADJ PART _
係 呀 ， 冇 而家 噉樣 㗎 ， 二十 、 二十 㗎 ， 冇 㗎 ， 呀 ， 嗰陣時 真 係 好 闊佬 㗎 。	係 呀 ， 冇 而家 噉樣 㗎 ， 二十 、 二十 㗎 ， 冇 㗎 ， 呀 ， 嗰陣時 真 係 好 闊佬 㗎 。	V PART _ V N ADV PART _ NUM _ NUM PART _ V PART _ INTJ _ N ADV V ADV ADJ PART _
《 夏天的故事 》	《 夏天的故事 》	_ PROPN _
我 過到去 呀 ， 驚 做 電燈膽 呀 。	我 過到去 呀 ， 驚 做 電燈膽 呀 。	PRO V PART _ V V N PART _
哎唷 ， 哎吔 ， 呢個 冇 人 贊成 嘅 。	哎唷 ， 哎吔 ， 呢個 冇 人 贊成 嘅 。	INTJ _ INTJ _ PART V N V PART _
唱 嗰 啲 ， 誒 ， 誒 ， 誒 ， 誒 ， 誒 。 《 從不喜歡孤單一個 》 都 有 人 唱 呢啲 。	唱 嗰 啲 ， 誒 ， 誒 ， 誒 ， 誒 ， 誒 。 《 從不喜歡孤單一個 》 都 有 人 唱 呢啲 。	V DET N _ INTJ _ INTJ _ INTJ _ INTJ _ INTJ _ _ PROPN _ ADV V N V PRO _
因為 - 因為 我 呢 個 年紀 嘅 人 ， 好似 呢 個 年紀 嘅 人 ， 應該 喺 屋企 帶孫 ， 有 孫 嘛 ， 可 ？ 帶孫 呀 ， 煮飯 買菜 呀 。	因為 - 因為 我 呢 個 年紀 嘅 人 ， 好似 呢 個 年紀 嘅 人 ， 應該 喺 屋企 帶孫 ， 有 孫 嘛 ， 可 ？ 帶孫 呀 ， 煮飯 買菜 呀 。	ADV _ ADV PRO PART N N PART N _ ADP PART N N PART N _ V ADP N V _ V N PART _ INTJ _ V PART _ V V PART _
走 啦 ！	走 喇 ！	V PART _
傻仔 ！	傻仔 ！	N _
係 呀 ！	係 呀 ！	V PART _
戰鬥力 超 勁 ！	戰鬥力 超 勁 ！	N ADV ADJ _
噉 根本 就 唔 識 廟街 個啲 …… 又 同 客 傾偈 啦 ， 飲酒 啦 ， 嗰啲 啦 。	噉 根本 就 唔 識 廟街 個啲 …… 又 同 客 傾偈 喇 ， 飲酒 喇 ， 嗰啲 喇 。	ADV ADV ADV ADV V PROPN PRO _ ADV V N V PART _ V PART _ PRO PART _
攞 嚟 啦 ！	攞 唻 喇 ！	V V PART _
《 分飛燕 》 呀 ， 日日 都 ， 好似 呢 排 都 有 。	《 分飛燕 》 呀 ， 日日 都 ， 好似 呢 排 都 有 。	_ PROPN _ PART _ ADV ADV _ ADV PART N ADV V _
你 做 過 第二 份 先 啦 ！	你 做 過 第二 份 先 喇 ！	PRO V V ADJ N PART PART _
我 睇 中 呢 個 老世 做 唔 嚟 。 我 叫 佢 ： 「 不如 誒 ， 呢 啲 檯檯凳凳 頂 畀 我 做 。 」 喺度 做 ， 我 先 做 咗 一 年 半 。	我 睇 中 呢 個 老世 做 唔 唻 。 我 叫 佢 ： 「 不如 誒 ， 呢 啲 檯檯凳凳 頂 畀 我 做 。 」 喺度 做 ， 我 先 做 咗 一 年 半 。	PRO V V PART N N V ADV V _ PRO V PRO _ _ ADV INTJ _ DET N N V ADP PRO V _ _ ADV V _ PRO ADV V V NUM N NUM _
而家 出發 ！	而家 出發 ！	N V _
對唔住 呀 ！	對唔住 呀 ！	V PART _
唏 ， 你 點 知 㗎 ？	唏 ， 你 點 知 㗎 ？	INTJ _ PRO ADV V PART _
你 搞 返 掂 佢 呀 。	你 搞 返 掂 佢 呀 。	PRO V V ADJ PRO PART _
換 咗 呀 ？	換 咗 呀 ？	V V PART _
我 都 冇 上堂 ， 你 知 㗎 啦 ！	我 都 冇 上堂 ， 你 知 㗎 喇 ！	PRO ADV V V _ PRO V PART PART _
可以 點 叫 我 呀 ？ 呢度 成 條 街 叫 我 大家姐 ， 因為 我 最 大 ， 年紀 最 大 吖嘛 。	可以 點 叫 我 呀 ？ 呢度 成 條 街 叫 我 大家姐 ， 因為 我 最 大 ， 年紀 最 大 吖嘛 。	V ADV V PRO PART _ PRO DET N N V PRO N _ ADV PRO ADV ADJ _ N ADV ADJ PART _
我 唱 下 呢 個 誒 ， 男兒當自強 ， 下嘛 ， 幾 雄壯 呀 。	我 唱 下 呢 個 誒 ， 男兒當自強 ， 下嘛 ， 幾 雄壯 呀 。	PRO V ADV DET N INTJ _ PROPN _ INTJ _ ADV ADJ PART _
係 ， 細個 到 而家 都 係 興趣 ， 呢啲 係 興趣 ， 下 。	係 ， 細個 到 而家 都 係 興趣 ， 呢啲 係 興趣 ， 下 。	V _ ADJ ADP N ADV V N _ PRO V N _ PART _
唔使 喇 。	唔使 嘑 。	V PART _
