drs. van der hoeven zei verder dat nederland beslist niet vooroploopt in het gebruik van kunststoffen .	drs. van der hoeven zeggen verder dat nederland beslist niet vooroplopen in het gebruik van kunststof .	PROPN PROPN PROPN PROPN FIN;PST;SG;V ADJ;CMPR CONJ NEUT;PROPN;SG ADJ ADV FIN;PRS;SG;V ADP DEF;DET N;NEUT;SG ADP N;PL _
hoe moeilijk het is kun je zien aan mvv .	hoe moeilijk het zijn kunnen je zien aan mvv .	ADV ADJ 3;PRO FIN;PRS;SG;V FIN;PRS;SG;V 2;NOM;PRO NFIN;V ADP N;NEUT;SG _
het heeft flink gewaaid .	het hebben flink waaien .	3;PRO FIN;PRS;SG;V ADJ V;V.PTCP _
je kan bijvoorbeeld niet ongestoord telefoneren	je kunnen bijvoorbeeld niet ongestoord telefoneren	2;NOM;PRO FIN;PRS;SG;V ADV ADV ADJ NFIN;V
uit rancune over het beeindigen van zijn ministerschap in de nacht van schmelzer sprak vondeling in zijn boekje : " nasmaak en voorproef " zijn veto over een samengaan in de toekomst met de kvp uit .	uit rancune over het beeindigen van zijn ministerschap in de nacht van schmelzer spreken vondeling in zijn boek : " nasmaak en voorproef " zijn veto over een samengaan in de toekomst met de kvp uit .	ADP MASC+FEM;N;SG ADP DEF;DET NFIN;V ADP 3;PRO N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG FIN;PST;SG;V PROPN;SG;{MASC+FEM/NEUT} ADP 3;PRO N;NEUT;SG _ _ MASC+FEM;N;SG CONJ N;NEUT;SG _ 3;PRO N;NEUT;SG ADP DET;INDF NFIN;V ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET PROPN;SG;{MASC+FEM/NEUT} ADP _
ik hou het bij voetballen	ik houden het bij voetballen	1;NOM;PRO FIN;PRS;SG;V 3;PRO ADP NFIN;V
welk toestel onderaan de auto zuivert de uitlaatgassen ?	welk toestel onderaan de auto zuiveren de uitlaatgas ?	DET N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V DEF;DET N;PL _
enige honderden aanvoerders hadden een jaaromzet van 100.000 gulden .	enig honderd aanvoerder hebben een jaaromzet van 100.000 gulden .	DET NUM N;PL FIN;PL;PST;V DET;INDF N;NEUT;SG ADP NUM MASC+FEM;N;SG _
dat is een voorbeeld van hoe het moet	dat zijn een voorbeeld van hoe het moeten	3;PRO FIN;PRS;SG;V DET;INDF N;NEUT;SG ADP ADV 3;PRO FIN;PRS;SG;V
dit is een huis- , tuin- en keukenoplossing	dit zijn een huis- , tuin- en keukenoplossing	3;PRO FIN;PRS;SG;V DET;INDF _ _ _ CONJ MASC+FEM;N;SG
dat er twee clubs aan het voetballen waren die in degradatienood verkeerden , werd zowel door de amsterdammers als door de schiedammers geen moment verbloemd .	dat er twee club aan het voetballen zijn die in degradatienood verkeren , worden zowel door de amsterdammer als door de schiedammer geen moment verbloemen .	CONJ ADV NUM N;PL ADP DEF;DET NFIN;V FIN;PL;PST;V PRO ADP MASC+FEM;N;SG FIN;PL;PST;V _ FIN;PST;SG;V ADV ADP DEF;DET N;PL CONJ ADP DEF;DET N;PL DET N;NEUT;SG V;V.PTCP _
het jaarlijkse benefietdiner in amsterdam voor het aidsfonds heeft dit jaar ongeveer 350000 gulden opgebracht .	het jaarlijks benefietdiner in amsterdam voor het aidsfonds hebben dit jaar ongeveer 350000 gulden opbrengen .	DEF;DET ADJ N;NEUT;SG ADP NEUT;PROPN;SG ADP DEF;DET N;NEUT;SG FIN;PRS;SG;V DET N;NEUT;SG ADV NUM MASC+FEM;N;SG V;V.PTCP _
