brug den i tynde flager som gratinering af en ovnret eller i tern i salatskålen .	bruge den i tynd flage som gratinering af en ovnret eller i tern i salatskål .	IMP;V 3;ACC;MASC+FEM;PRO;SG ADP ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADP INDF;N;PL ADP DEF;MASC+FEM;N;SG _
i virkeligheden er al frøforædling mutation .	i virkelighed være al frøforædling mutation .	ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADJ;MASC+FEM;SG INDF;MASC+FEM;N;SG INDF;MASC+FEM;N;SG _
* ideen om at skabe en firkantet tomat , der let lader sig stakke i supermarkederne , var længe en stående vittighed blandt forskerne .	* ide om at skabe en firkantet tomat , der let lade sig stakke i supermarked , være længe en stå vittighed blandt forsker .	_ DEF;MASC+FEM;N;SG ADP PART ACT;NFIN;V DET;MASC+FEM;SG ADJ;INDF;SG INDF;MASC+FEM;N;SG _ PRO ADV ACT;FIN;IND;PRS;V 3;ACC;PRO;REFL ACT;NFIN;V ADP DEF;N;NEUT;PL _ ACT;FIN;IND;PST;V ADV DET;MASC+FEM;SG PRS;V;V.PTCP INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;PL _
dybdearbejdning i staudebedet med kultivator ødelægger planternes rødder .	dybdearbejdning i staudebed med kultivator ødelægge plante rod .	_ ADP DEF;N;NEUT;SG ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DEF;GEN;MASC+FEM;N;PL INDF;MASC+FEM;N;PL _
flere aktionærer beklagede sig over dårlig service og mange fejl , men de ville ikke gå med til et lavere udbytte .	mange aktionær beklage sig over dårlig service og mange fejl , men de ville ikke gå med til en lav udbytte .	ADJ;CMPR;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PST;V 3;ACC;PRO;REFL ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADJ;PL INDF;MASC+FEM;N;PL _ CONJ 3;NOM;PL;PRO ACT;FIN;IND;PST;V ADV ACT;NFIN;V ADV ADP DET;NEUT;SG ADJ;CMPR INDF;N;NEUT;SG _
nu og da brød en mandlig speaker ind , helt eksalteret : " det tyske folk ! forbered jer på en vigtig meddelelse ! "	nu og da bryde en mandlig speaker ind , helt eksalteret : " det tysk folk ! forberede i på en vigtig meddelelse ! "	ADV CONJ ADV ACT;FIN;IND;PST;V DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADV _ ADV ADJ;INDF;SG _ _ 3;ACC;NEUT;PRO;SG ADJ;DEF;SG INDF;N;NEUT;SG _ IMP;V 2;ACC;MASC+FEM;PL;PRO ADP DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _ _
genbrug	genbrug	INDF;N;NEUT;SG
op til et dusin store lastvognstog kører europa tyndt .	op til en dusin stor lastvognstog køre europa tyndt .	ADV ADP DET;NEUT;SG INDF;N;NEUT;SG ADJ;PL INDF;N;NEUT;PL ACT;FIN;IND;PRS;V PROPN ADV _
ser man på midtbanen i dansk politik , vinder det radikale venstre 0,9 procent flere stemmer end ved sidste prøvevalg .	se man på midtbane i dansk politik , vinde den radikal venstre 0,9 procent mange stemme end ved sidste prøvevalg .	ACT;FIN;IND;PRS;V MASC+FEM;NOM;PRO ADP DEF;MASC+FEM;N;SG ADP ADJ;INDF;SG INDF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG NUM INDF;MASC+FEM;N;PL ADJ;CMPR;PL INDF;MASC+FEM;N;PL ADP ADP ADJ INDF;N;NEUT;SG _
de fleste af de afskyelige sko bliver solgt til helt unge piger .	den mange af den afskyelig sko blive sælge til helt ung pige .	DET;PL ADJ;DEF;PL;RL ADP DET;PL ADJ;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADP ADV ADJ;PL INDF;MASC+FEM;N;PL _
principsag	principsag	INDF;MASC+FEM;N;SG
