nie zrobiono nic .	nie zrobiony nic .	PART ADJ;NEUT;NOM;PASS;PFV;POS;SG;V.PTCP GEN;NEUT;PRO;SG _
kierowca wrzuca wsteczny i na pełnym gazie taranuje pieszych .	kierowca wrzucać wsteczny i na pełny gaz taranować pieszy .	HUM;MASC;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG CONJ ADP;ESS ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;HUM;MASC;N;PL _
mówi , że za komuny było lepiej , bo można było iść do sekretarza partii .	mówić , że za komuna być dobrze , bo można być iść do sekretarz partia .	3;FIN;IND;IPFV;PRS;SG;V _ CONJ ADP;GEN FEM;GEN;N;SG ACT;IPFV;NEUT;PST;SG;V;V.PTCP ADV _ CONJ V ACT;IPFV;NEUT;PST;SG;V;V.PTCP IPFV;NFIN;V ADP;GEN GEN;HUM;MASC;N;SG FEM;GEN;N;SG _
był to kredyt zaufania , który zobowiązywał .	być to kredyt zaufanie , który zobowiązywać .	ACT;INAN;IPFV;MASC;PST;SG;V;V.PTCP V INAN;MASC;N;NOM;SG GEN;N;NEUT;SG _ DET;INAN;MASC;NOM;SG ACT;INAN;IPFV;MASC;PST;SG;V;V.PTCP _
zgadzając się co do celu , uważamy , że metoda jego osiągnięcia nie jest dobra .	zgadzać się co do cel , uważać , że metoda on osiągnięcie nie być dobry .	IPFV;PRS;V;V.CVB PRO;REFL ACC;ADP ADP;GEN GEN;INAN;MASC;N;SG _ 1;FIN;IND;IPFV;PL;PRS;V _ CONJ FEM;N;NOM;SG 3;GEN;INAN;MASC;PRO;SG GEN;N;NEUT;PFV;POS;SG;V.MSDR PART 3;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;NOM;SG _
psy grzebały w śmietniku .	pies grzebać w śmietnik .	MASC;N;NHUM;NOM;PL ACT;IPFV;MASC;NHUM;PL;PST;V;V.PTCP ADP;ESS ESS;INAN;MASC;N;SG _
na szczególną uwagę zasługują wyraźnie zaakcentowane potrzeby pracy nad własnym charakterem .	na szczególny uwaga zasługiwać wyraźnie zaakcentowany potrzeba praca nad własny charakter .	ACC;ADP ACC;ADJ;FEM;SG ACC;FEM;N;SG 3;FIN;IND;IPFV;PL;PRS;V ADV ADJ;FEM;NOM;PASS;PFV;PL;POS;V.PTCP FEM;N;NOM;PL FEM;GEN;N;SG ADP;INS ADJ;INAN;INS;MASC;SG INAN;INS;MASC;N;SG _
w czasach demokryta panował jeszcze inny pogląd na nicość materialną , który nazwę potocznym .	w czas demokryt panować jeszcze inny pogląd na nicość materialny , który nazwać potoczny .	ADP;ESS ESS;INAN;MASC;N;PL GEN;HUM;MASC;PROPN;SG ACT;INAN;IPFV;MASC;PST;SG;V;V.PTCP PART ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG ACC;ADP ACC;FEM;N;SG ACC;ADJ;FEM;SG _ ACC;DET;INAN;MASC;SG 1;FIN;IND;PFV;PRS;SG;V ADJ;INAN;INS;MASC;SG _
kongresy międzynarodówki poruszały zawsze ważne problemy , istotne dla życia politycznego i społecznego danego okresu .	kongres międzynarodówka poruszać zawsze ważny problem , istotny dla życie polityczny i społeczny dany okres .	INAN;MASC;N;NOM;PL FEM;GEN;PROPN;SG ACT;INAN;IPFV;MASC;PL;PST;V;V.PTCP ADV ACC;ADJ;INAN;MASC;PL ACC;INAN;MASC;N;PL _ ACC;ADJ;INAN;MASC;PL ADP;GEN GEN;N;NEUT;SG ADJ;GEN;NEUT;SG CONJ ADJ;GEN;NEUT;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
wszystko płynie .	wszystko płynąć .	NEUT;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V _
na tej klepce bracia mocno się poślizgnęli .	na ten klepka brat mocno się poślizgnąć .	ADP;ESS DET;ESS;FEM;SG ESS;FEM;N;SG HUM;MASC;N;NOM;PL ADV PRO;REFL ACT;HUM;MASC;PFV;PL;PST;V;V.PTCP _
mam znajomego , który zamierza zmienić pracę , ale w związku z tym będzie musiał na pół roku wyjechać do korei .	mieć znajomy , który zamierzać zmienić praca , ale w związek z to być musieć na pół rok wyjechać do korea .	1;FIN;IND;IPFV;PRS;SG;V ACC;HUM;MASC;N;SG _ DET;HUM;MASC;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V NFIN;PFV;V ACC;FEM;N;SG _ CONJ ADP;ESS ESS;INAN;MASC;N;SG ADP;INS INS;NEUT;PRO;SG 3;FIN;FUT;IND;IPFV;SG;V ACT;HUM;IPFV;MASC;PST;SG;V;V.PTCP ACC;ADP ACC;INAN;MASC;NUM;PL GEN;INAN;MASC;N;SG NFIN;PFV;V ADP;GEN FEM;GEN;PROPN;SG _
