catherine of russia was also very satisfied .	catherine of russia be also very satisfied .	PROPN;SG ADP PROPN;SG 3;FIN;IND;PST;SG;V ADV ADV ADJ _
simon krätschmer gropes around alone through the dilapidated , sinister barrack .	simon krätschmer grope around alone through the dilapidated , sinister barrack .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V ADV ADV ADP DEF;DET ADJ _ ADJ N;SG _
are workers allowed to keep religious objects on their desks ?	be worker allow to keep religious object on they desk ?	FIN;IND;PRS;V N;PL PST;V;V.PTCP PART NFIN;V ADJ N;PL ADP 3;PL;PRO N;PL _
at just 20 , she is a strong voice against bullying and a positive one in helping girls embrace their own standards of beauty .	at just 20 , she be a strong voice against bullying and a positive one in help girl embrace they own standard of beauty .	ADP ADV NUM _ 3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG ADP N;SG CONJ DET;INDF ADJ N;SG ADP V;V.MSDR N;PL NFIN;V 3;PL;PRO ADJ N;PL ADP N;SG _
i can just do that with my life .	i can just do that with my life .	1;NOM;PRO;SG FIN;V ADV NFIN;V PRO;SG ADP 1;PRO;SG N;SG _
an investor with average luck and £ 10,000 in bonds could expect to receive £ 125 in prizes per year .	a investor with average luck and £ 10,000 in bond could expect to receive £ 125 in prize per year .	DET;INDF N;SG ADP ADJ N;SG CONJ _ NUM ADP N;PL FIN;V NFIN;V PART NFIN;V _ NUM ADP N;PL ADP N;SG _
among humans both males and females are ardent singers , and making music is mostly a communal activity .	among human both male and female be ardent singer , and make music be mostly a communal activity .	ADP N;PL CONJ N;PL CONJ N;PL FIN;IND;PRS;V ADJ N;PL _ CONJ V;V.MSDR N;SG 3;FIN;IND;PRS;SG;V ADV DET;INDF ADJ N;SG _
a keen guitarist , he played a concert there the same year .	a keen guitarist , he play a concert there the same year .	DET;INDF ADJ N;SG _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V DET;INDF N;SG ADV DEF;DET ADJ N;SG _
as stated , the decision is the prerogative of the ecb and would appear inappropriate for the bank to speak on its behalf by excluding the possibility of looking at other alternatives .	as state , the decision be the prerogative of the ecb and would appear inappropriate for the bank to speak on its behalf by exclude the possibility of look at other alternative .	CONJ PST;V;V.PTCP _ DEF;DET N;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP DEF;DET PROPN;SG CONJ FIN;V NFIN;V ADJ ADP DEF;DET N;SG PART NFIN;V ADP 3;NEUT;PRO;SG N;SG CONJ V;V.MSDR DEF;DET N;SG CONJ V;V.MSDR ADP ADJ N;PL _
the liberal democrats , who represented the affluent suburb until 2010 , are hoping to snatch it back with their candidate sarah olney .	the liberal democrats , who represent the affluent suburb until 2010 , be hope to snatch it back with they candidate sarah olney .	DEF;DET ADJ PL;PROPN _ PRO FIN;IND;PST;V DEF;DET ADJ N;SG ADP NUM _ FIN;IND;PRS;V PRS;V;V.PTCP PART NFIN;V 3;ACC;NEUT;PRO;SG ADV ADP 3;PL;PRO N;SG PROPN;SG PROPN;SG _
a bronze age astronomical observatory was constructed there around 1900 bc and continuously served the nearby community that lived there until about 700 bc .	a bronze age astronomical observatory be construct there around 1900 bc and continuously serve the nearby community that live there until about 700 bc .	DET;INDF PROPN;SG PROPN;SG ADJ N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADV ADP NUM N;SG CONJ ADV FIN;IND;PST;V DEF;DET ADJ N;SG PRO FIN;IND;PST;V ADV ADP ADV NUM N;SG _
as a result , many people quickly open emails or mindlessly click on links and attachments with nary a thought of its consequences .	as a result , many people quickly open email or mindlessly click on link and attachment with nary a thought of its consequence .	ADP DET;INDF N;SG _ ADJ N;PL ADV FIN;IND;PRS;V N;PL CONJ ADV NFIN;V ADP N;PL CONJ N;PL ADP DET DET;INDF N;SG ADP 3;NEUT;PRO;SG N;PL _
adnan z. amin , general director of the international organization for renewable energies ( irena ) is certain : " offshore wind power can become the top power generator in a global economy that is free of coal - based energy . "	adnan z. amin , general director of the international organization for renewable energy ( irena ) be certain : " offshore wind power can become the top power generator in a global economy that be free of coal - base energy . "	PROPN;SG PROPN;SG PROPN;SG _ ADJ N;SG ADP DEF;DET ADJ PROPN;SG ADP ADJ PL;PROPN _ PROPN;SG _ 3;FIN;IND;PRS;SG;V ADJ _ _ ADJ N;SG N;SG FIN;V NFIN;V DEF;DET ADJ N;SG N;SG ADP DET;INDF ADJ N;SG PRO 3;FIN;IND;PRS;SG;V ADJ ADP N;SG _ PST;V;V.PTCP N;SG _ _
a witness told police that the victim had attacked the suspect in april .	a witness tell police that the victim have attack the suspect in april .	DET;INDF N;SG FIN;IND;PST;V N;PL CONJ DEF;DET N;SG FIN;IND;PST;V PST;V;V.PTCP DEF;DET N;SG ADP PROPN;SG _
what she ’s saying and what she ’s doing , it — actually , it ’s unbelievable .	what she ’s say and what she ’s do , it — actually , it ’s unbelievable .	PRO 3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V V;V.MSDR CONJ PRO 3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V V;V.MSDR _ 3;NEUT;NOM;PRO;SG _ ADV _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ _
she starred in the 2012 film the five - year engagement , directed by nicholas stoller and co-starring jason segel .	she star in the 2012 film the five - year engagement , direct by nicholas stoller and co-star jason segel .	3;FEM;NOM;PRO;SG FIN;IND;PST;V ADP DEF;DET NUM N;SG DEF;DET NUM _ N;SG N;SG _ PST;V;V.PTCP ADP PROPN;SG PROPN;SG CONJ V;V.MSDR PROPN;SG PROPN;SG _
between them bloomed a long professional and amicable relationship that lasted for years .	between they bloom a long professional and amicable relationship that last for year .	ADP 3;ACC;PL;PRO FIN;IND;PST;V DET;INDF ADJ ADJ CONJ ADJ N;SG PRO FIN;IND;PST;V ADP N;PL _
he also said klein was uncommunicative , uncooperative and unwilling to walk up from cells under the courthouse to attend his hearing .	he also say klein be uncommunicative , uncooperative and unwilling to walk up from cell under the courthouse to attend he hearing .	3;MASC;NOM;PRO;SG ADV FIN;IND;PST;V PROPN;SG 3;FIN;IND;PST;SG;V ADJ _ ADJ CONJ ADJ PART NFIN;V ADP ADP N;PL ADP DEF;DET N;SG PART NFIN;V 3;MASC;PRO;SG N;SG _
this drawing up was the founding act of roman law , the institutions of the roman republic and the mos maiorum .	this draw up be the founding act of roman law , the institution of the roman republic and the mos maiorum .	PRO;SG V;V.MSDR ADP 3;FIN;IND;PST;SG;V DEF;DET ADJ N;SG ADP ADJ N;SG _ DEF;DET N;PL ADP DEF;DET PROPN;SG PROPN;SG CONJ DEF;DET _ _ _
the sahel 's climate is similar to , but less extreme than , the climate of the sahara desert located just to the north .	the sahel 's climate be similar to , but less extreme than , the climate of the sahara desert locate just to the north .	DEF;DET PROPN;SG PART N;SG 3;FIN;IND;PRS;SG;V ADJ ADP _ CONJ ADV;CMPR ADJ ADP _ DEF;DET N;SG ADP DEF;DET PROPN;SG N;SG PST;V;V.PTCP ADV ADP DEF;DET N;SG _
the area controlled by the bogd khaan was approximately that of the former outer mongolia during the qing period .	the area control by the bogd khaan be approximately that of the former outer mongolia during the qing period .	DEF;DET N;SG PST;V;V.PTCP ADP DEF;DET PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V ADV PRO;SG ADP DEF;DET ADJ PROPN;SG PROPN;SG ADP DEF;DET PROPN;SG N;SG _
