из сае токо ветлала , потому что мӧд , мӧдэд луныс , да , менам сэн нин воссис нин .	из сайын токо ветлыны , потому что мӧд , мӧдэд лун , да , ме сэн нин воссьыны нин .	NOM;PROPN ADP;IN+ALL;SG ADV 1;FIN;IND;PRS;SG;V _ CONJ CONJ DET;NOM;SG _ NUM N;NOM;PSS3S;SG _ PART _ 1;GEN;PL;PRO ADV ADV 3;FIN;IND;PST;SG;V ADV _
считай , три раза в год пересчитывайтэны стадосэ .	считать , три раз в год пересчитывайтны стадосӧ .	2;FIN;IMP;SG;V _ NOM;NUM;SG GEN;N;SG ADP N;NOM;SG 3;FIN;IND;PRS;SG;V ACC;N;PSS3S;SG _
став вӧлэсьсэ километров четыреста будет .	став вӧлэсь километр четыреста лоны .	DET;NOM;SG N;NOM;SG GEN;N;PL NOM;NUM;SG 3;FIN;IND;SG;V _
армияа колэма мунны , значит , воома повесткаыс , сыа сорок первей год вылэ , а двадцать третьей год выыса ае , значит , а и вӧйнаыс суома , и ае мунэма вӧйна вылэ .	армия ковны мунны , значит , воны повестка , сыа сорок первей год вылын , а двадцать третьей год выыса ай , значит , а и вӧйнаыс суны , и ай мунны вӧйна вылын .	IN+ALL;N;SG 3;FIN;IND;NFH;PST;SG;V NFIN;V _ PART _ 3;FIN;IND;NFH;PST;SG;V N;NOM;PSS3S;SG _ 3;NOM;PRO;SG NUM ADJ;NOM;SG N;NOM;SG ADP;IN+ALL;SG _ CONJ NUM NUM N;NOM;SG ADJ;NOM;SG IN+ALL;N;SG _ PART _ CONJ PART N;NOM;PSS3S;SG 3;FIN;IND;NFH;PST;SG;V _ CONJ N;NOM;PSS1S;SG 3;FIN;IND;NFH;PST;SG;V N;NOM;SG ADP;IN+ALL;SG _
омскейын , значит , военнэй училище , не вӧеннэй училище , а курсъяс , подготовка куим месеча прӧйдитэма , и вӧюйтіс сыа ленинградскей фронт вылын .	омскейын , значит , военнӧй училище , не вӧеннэй училище , а курс , подготовка куим месеча прӧйдитны , и вӧюйтіс сыа ленинградскей фронт вылын .	ADJ;IN+ESS _ PART _ ADJ;NOM;SG N;NOM;SG _ NEG;PART ADJ;NOM;SG N;NOM;SG _ CONJ N;NOM;PL _ N;NOM;SG NOM;NUM;SG GEN;N;SG 3;FIN;IND;NFH;PST;SG;V _ CONJ 3;FIN;IND;PST;SG;V 3;NOM;PRO;SG ADJ;NOM;SG N;NOM;SG ADP;IN+ESS;SG _
миян семяын дас морт .	ми семя дас морт .	1;NOM;PL;PRO IN+ESS;N;SG NOM;NUM;SG N;NOM;SG _
именнэ для девушек вӧлі ачыс сарафан .	именно для дешувка вӧвны ас сарапан .	ADV ADP GEN;N;PL 3;FIN;IND;PST;SG;V 3;NOM;PRO;REFL N;NOM;SG _
ме , кӧнечнэ же , кык лун вӧлі в шоке от тайланда , потому что , но , менэ страны юго-восточной азии зэй из привлекайтныс .	ме , конечно же , кык лун вӧвны в шок от тайланд , потому что , но , ме страна юго-восточной азия зэй оз привлекайтны .	1;NOM;PRO;SG _ ADV PART _ NOM;NUM;SG N;NOM;SG 3;FIN;IND;PST;SG;V ADP ESS;N;SG ADP GEN;PROPN;SG _ CONJ CONJ _ PART _ 1;ACC;PRO;SG N;NOM;PL ADJ;NOM;SG GEN;PROPN;SG ADV 3;FIN;IND;NEG;V PL;V _
гожемъясын волыыліс челядькед .	гожӧм волывлыны челядь .	IN+ESS;N;PL 3;FIN;IND;PST;SG;V COM;N;SG _
примитіс сэн , босьтіс , мукедыс роч кыы да мыйке-майда .	примитны сэн , босьтны , му роч кыы да мыйке-майда .	3;FIN;IND;PST;SG;V ADV _ 3;FIN;IND;PST;SG;V _ COM;N;PSS3S;SG N;NOM;SG N;NOM;SG CONJ ADV _
вто- , вторая бригада оленеводческая , висьтооны ке , мӧдэд бригада , да ?	вто- , вторая бригада оленеводческая , висьтооны ке , мӧдэд бригада , да ?	ADJ;NOM;SG _ ADJ;NOM;SG N;NOM;SG ADJ;NOM;SG _ NFIN;V CONJ _ NUM N;NOM;SG _ PART _
но маме как раз тыра вӧліс , думайтэныс , гашке , вӧрзям да и , ничего , бур лоо ставыс да .	но мам как раз тыр вӧвны , думайтэныс , гашке , вӧрзьыны да и , ничего , бур лоны став да .	CONJ N;NOM;PSS1S;SG CONJ N;NOM;SG ADV 3;FIN;IND;PST;SG;V _ 3;FIN;IND;PL;PST;V _ ADV _ 1;FIN;IND;PL;PRS;V PART PART _ ADV;NEG _ ADJ;NOM;SG 3;FIN;IND;PRS;SG;V NOM;PRO;PSS3S;SG PART _
из сайын сыа , так что , меам салехард местэыс тоже рӧднэй рӧдина койд .	из сайын сыа , так что , ме салехард местэыс тоже рӧднӧй рӧдина койд .	NOM;PROPN ADP;IN+ESS;SG 3;NOM;PRO;SG _ CONJ ADP _ 1;GEN;PL;PRO NOM;PROPN;SG N;NOM;PSS3S;SG ADV ADJ;NOM;SG N;NOM;SG ADP _
до школьного возраста ветлі родительяскед тундраын .	до школьный возраст ветлыны родитель тундра .	ADP ADJ;GEN;SG GEN;N;SG 1;FIN;IND;PST;SG;V COM;N;SG IN+ESS;N;SG _
пока из вермы , пока вермис .	пока оз вермыны , пока вермыны .	ADV 3;FIN;IND;NEG;V SG;V _ ADV 3;FIN;IND;PST;SG;V _
воліс же тундраас , но из , абу понравитчема , оз вермы сыа сэтшем условиеясас .	волыны жӧ тундра , но оз , абу понравитчыны , оз вермыны сійӧ сэтшӧм условие .	3;FIN;IND;PST;SG;V PART IN+ALL;N;PSS3S;SG _ CONJ 3;FIN;IND;NEG;V _ NEG;PART IND;SG;V _ 3;FIN;IND;NEG;PRS;V V 3;NOM;PRO;SG NOM;PRO;SG IN+ALL;N;PL;PSS3S _
ог тӧд , мен кажитче , без репетитора сыа невозможнэ .	оз тӧдны , ме кажитчыны , без репетитор сыа невозможнэ .	1;FIN;IND;NEG;PRS;V SG;V _ 1;DAT;PRO;SG 3;FIN;IND;PRS;SG;V _ ADP GEN;N;SG 3;NOM;PRO;SG ADV;NEG _
