шлункова фаза соковиділення забезпечується не лише за рахунок нервової системи .	шлунковий фаза соковиділення забезпечуватися не лише за рахунок нервовий система .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART PART ACC;ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
для статево нерозбудженої жінки , такої , що ніколи раніше не пробувала онанізму , це найкращий шлях якнайповніше розвинути її еротичну вразливість .	для статево нерозбуджений жінка , такий , що ніколи раніше не пробувати онанізм , це найкращий шлях якнайповніше розвинути її еротичний вразливість .	ADP;GEN ADV ADJ;FEM;GEN;PASS;PFV;SG;V.PTCP ANIM;FEM;GEN;N;SG _ DET;FEM;GEN;SG _ CONJ ADV ADV;CMPR NEG;PART FEM;FIN;IND;IPFV;PST;SG;V GEN;INAN;MASC;N;SG _ INAN;NEUT;NOM;PRO;SG ADJ;MASC;NOM;RL;SG INAN;MASC;N;NOM;SG AB;ADV NFIN;PFV;V 3;ACC;DET;FEM;SG ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
минуло сто літ .	минути сто літа .	FIN;IND;NEUT;PFV;PST;SG;V NOM;NUM GEN;INAN;N _
хто що отримав на свята в подарунок ?	хто що отримати на свято в подарунок ?	ANIM;MASC;NOM;PRO;SG ACC;INAN;NEUT;PRO;SG FIN;IND;MASC;PFV;PST;SG;V ACC;ADP ACC;INAN;N;NEUT;PL ACC;ADP ACC;INAN;MASC;N;SG _
заборонити веселку !	заборонити веселка !	NFIN;PFV;V ACC;FEM;INAN;N;SG _
йди к бісу !	йти к біс !	2;FIN;IMP;IPFV;SG;V ADP;DAT DAT;INAN;MASC;N;SG _
вона радіє , як є чим топити .	вона радіти , як бути що топити .	3;FEM;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V _ ADV 3;FIN;IND;IPFV;PRS;SG;V INAN;INS;NEUT;PRO;SG IPFV;NFIN;V _
мр . віллі морріс добув з горішньої кишені камізельки зложений у восьмеро папір .	мр. . віллі морріс добути з горішній кишеня камізелька зложений у восьмеро папір .	ANIM;MASC;N;NOM;SG _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V ADP;GEN ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG FEM;GEN;INAN;N;SG ACC;ADJ;INAN;MASC;PASS;PFV;SG;V.PTCP ACC;ADP ACC;NUM ACC;INAN;MASC;N;SG _
андрій помовчав , подивився пильно на того , що питав , посміхнувся й раптом викарбував :	андрій помовчати , подивитися пильно на той , що питати , посміхнутися й раптом викарбувати :	ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V _ FIN;IND;MASC;PFV;PST;SG;V ADV ACC;ADP ACC;ANIM;DET;MASC;SG _ CONJ FIN;IND;IPFV;MASC;PST;SG;V _ FIN;IND;MASC;PFV;PST;SG;V CONJ ADV FIN;IND;MASC;PFV;PST;SG;V _
забороняється використання тварини у кориді , створення та діяльність пересувних звіринців , пересувних зоопарків та пересувних виставок диких тварин , а також діяльність дельфінаріїв , що не мають природної морської води .	заборонятися використання тварина у корида , створення та діяльність пересувний звіринець , пересувний зоопарк та пересувний виставка дикий тварина , а також діяльність дельфінарій , що не мати природний морський вода .	3;FIN;IND;IPFV;PRS;SG;V INAN;N;NEUT;NOM;SG ANIM;FEM;GEN;N;SG ADP;ESS ESS;FEM;INAN;N;SG _ INAN;N;NEUT;NOM;SG CONJ FEM;INAN;N;NOM;SG ADJ;GEN;PL GEN;INAN;MASC;N;PL _ ADJ;GEN;PL GEN;INAN;MASC;N;PL CONJ ADJ;GEN;PL FEM;GEN;INAN;N;PL ADJ;GEN;PL ANIM;FEM;GEN;N;PL _ CONJ ADV FEM;INAN;N;NOM;SG GEN;INAN;MASC;N;PL _ CONJ NEG;PART 3;FIN;IND;IPFV;PL;PRS;V ADJ;FEM;GEN;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
знаємо вже , про що не треба розмовляти у ліжку .	знати вже , про що не треба розмовляти у ліжко .	1;FIN;IND;IPFV;PL;PRS;V ADV _ ACC;ADP ACC;INAN;NEUT;PRO;SG NEG;PART ADV IPFV;NFIN;V ADP;ESS ESS;INAN;N;NEUT;SG _
у 1937 році в берліні відбуваються переговори коновальця та генерала миколи капустянського з представниками японського посольства й генштабу .	у 1937 рік в берлін відбуватися переговори коновалець та генерал микола капустянський з представник японський посольство й генштаб .	ADP;ESS ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG ADP;ESS ESS;INAN;MASC;PROPN;SG 3;FIN;IND;IPFV;PL;PRS;V INAN;N;NOM ANIM;GEN;MASC;PROPN;SG CONJ ANIM;GEN;MASC;N;SG ANIM;GEN;MASC;PROPN;SG ANIM;GEN;MASC;PROPN;SG ADP;INS ANIM;INS;MASC;N;PL ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG CONJ GEN;INAN;MASC;N;SG _
