दोन लाडू शिल्लक होते .	दोन लाडू शिल्लक असणे .	NUM MASC;N;NOM;SG ADJ;NOM 3;FIN;MASC;PL;PST;V _
दोघे पुढे जाऊ लागली .	दोघे पुढे जाणे लागणे .	3;NOM;PL;PRO ADV NFIN;V 3;FIN;NEUT;PFV;PL;V _
ते तेंव्हा बाहेर खेळू शकले नाहीत .	तो तेंव्हा बाहेर खेळणे शकणे नाही .	3;MASC;NOM;PL;PRO ADV ADV NFIN;V 3;FIN;MASC;PFV;PL;V 3;FIN;NEG;PL;V _
" कोण मेले ? " म्हाताऱ्या गुरवाने विचारले .	" कोण मेला ? " म्हातारा गुरव विचारणे .	_ NOM;PRO ADJ;NEUT;NOM;SG _ _ ADJ INS;MASC;N;SG 3;FIN;MASC;PFV;PL;V _
त्याने एक लाडू फोडला .	तो एक लाडू फोडणे .	3;ERG;MASC;PRO;SG DET;SG ACC;MASC;N;SG 3;FIN;MASC;PFV;SG;V _
तो म्हणाला , दादा , जा व राजाला सांगा की , _ _ वडिलांना स्वर्गात करमत नाही .	तो म्हणणे , दादा , जाणे व राजा सांगणे की , तो चा वडिल स्वर्ग करमणे नाही .	3;MASC;NOM;PRO;SG 3;FIN;MASC;PFV;SG;V _ MASC;N;NOM;SG _ 2;FIN;IMP;PL;V CONJ DAT;MASC;N;SG 2;FIN;IMP;PL;V CONJ _ 3;MASC;PRO;SG ADP DAT;MASC;N;PL ESS;MASC;N;SG IPFV;V;V.PTCP 3;FIN;NEG;SG;V _
तो एक भाऊ म्हणाला , दादा , मला निरोप दे !	तो एक भाऊ म्हणणे , दादा , मी निरोप देणे !	DET;MASC;SG NUM MASC;N;NOM;SG 3;FIN;MASC;PFV;SG;V _ MASC;N;NOM;SG _ 1;DAT;PRO;SG ACC;MASC;N;SG 2;FIN;IMP;SG;V _
मेरी बसली आहे , आणि _ _ हात _ _ _ _ आहेत .	मेरी बसणे असणे , आणि तो चा हात तो चा डोळा समोर असणे .	FEM;NOM;PROPN;SG 3;FEM;FIN;PFV;SG;V 3;FIN;PRS;SG;V _ CONJ 3;FEM;PRO;SG ADP;MASC;PL MASC;N;NOM;PL 3;FEM;PRO;SG ADP MASC;N;PL ADP 3;FIN;PL;PRS;V _
" तुला माहित आहे का , तो कुठे आहे ? "	" तू माहित असणे का , तो कुठे असणे ? "	_ 2;DAT;PRO;SG ADV 3;FIN;PRS;SG;V ADV _ 3;MASC;NOM;PRO;SG ADV 3;FIN;PRS;SG;V _ _
" प्राण गेला तरी विकणार नाही . "	" प्राण जाणे तरी विकणे नाही . "	_ MASC;N;NOM;SG 3;FIN;MASC;PFV;SG;V CONJ FIN;PROSP;V 1;FIN;NEG;SG;V _ _
तिने राजपुत्राला हृदयाशी धरले .	तो राजपुत्र हृदय धरणे .	3;ERG;FEM;PRO;SG DAT;MASC;N;SG COM;MASC;N;SG 3;FIN;NEUT;PFV;SG;V _
अर्धा लाडू सर्वांनी खाल्ला .	अर्धा लाडू सर्व खाणे .	ADJ;MASC;NOM;SG ACC;MASC;N;SG ERG;PL;PRO 3;FIN;MASC;PFV;SG;V _
मोती अलग झाले .	मोती अलग होणे .	MASC;N;NOM;PL ADJ;NOM 3;FIN;MASC;PFV;PL;V _
तो जेम्स असेल का ?	तो जेम्स असणे का ?	3;MASC;PRO;SG MASC;NOM;PROPN;SG 3;FIN;FUT;SG;V ADV _
" तू तरी काय करशील ? "	" तू तरी काय करणे ? "	_ 2;NOM;PRO;SG CONJ ACC;PRO 2;FIN;FUT;SG;V _ _
_ _ , निष्पाप दिसत होती .	साधा भोळा , निष्पाप दिसणे असणे .	ADJ;FEM;NOM;SG ADJ;FEM;NOM;SG _ ADJ;NOM IPFV;V;V.PTCP 3;FEM;FIN;PST;SG;V _
ते विकणे _ _ _ _ येत होते .	तो विकणे तो चा जिवा वर येणे असणे .	3;NEUT;PRO;SG NFIN;NOM;V 3;MASC;PRO;SG ADP MASC;N;SG ADP IPFV;V;V.PTCP 3;FIN;NEUT;PST;SG;V _
असे _ _ भाषण करून केशवचंद्र निघून गेले .	असा धमकी चा भाषण करणे केशवचंद्र निघणे जाणे .	ADJ;NEUT;NOM;SG FEM;N;SG ADP;NEUT;SG ACC;N;NEUT;SG PFV;V;V.CVB MASC;NOM;PROPN;SG PFV;V;V.CVB 3;FIN;MASC;PFV;PL;V _
येत जा ! राजपुत्र म्हणाला .	येणे जाणे ! राजपुत्र म्हणणे .	IPFV;V;V.PTCP 2;FIN;IMP;SG;V _ MASC;N;NOM;SG 3;FIN;MASC;PFV;SG;V _
_ _ दोन - चार कलमे लावली होती .	तो ही दोन - चार कलम लावणे असणे .	3;INS;NEUT;PRO;SG PART NUM _ NUM ACC;N;NEUT;PL 3;FIN;NEUT;PFV;PL;V 3;FIN;NEUT;PL;PST;V _
राजा खुशमस्कऱ्याला म्हणाला , आता कोणता उपाय ?	राजा खुशमस्कऱ्या म्हणणे , आता कोणता उपाय ?	N;NEUT;NOM;SG DAT;MASC;N;SG 3;FIN;MASC;PFV;SG;V _ ADV MASC;PRO;SG MASC;N;NOM;SG _
मी म्हणून तुला इतकी किंमत देत आहे .	मी म्हणून तू इतका किंमत देणे असणे .	1;NOM;PRO;SG ADV 2;DAT;PRO;SG ADJ;FEM;NOM;SG ACC;FEM;N;SG IPFV;V;V.PTCP 3;FIN;PRS;SG;V _
अर्धा अर्धा लाडू दोघांनी खाल्ला .	अर्धा अर्धा लाडू दोघे खाल्ला .	ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG ACC;MASC;N;SG 3;ERG;MASC;PL;PRO 3;FIN;MASC;PFV;SG;V _
_ _ दारात झळाळणाऱ्या _ _ ढीग पडले .	राजा चा दार झळाळणे मोती चा ढीग पडणे .	MASC;N;NOM;SG ADP ESS;N;NEUT;SG HAB;V;V.PTCP FEM;N;PL ADP;NEUT;SG MASC;N;NOM;SG 3;FIN;NEUT;PFV;SG;V _
_ _ बरी जिरली ! कोणी म्हणाले .	दुष्ट चा बरा जिरणे ! कोण म्हणणे .	MASC;N;SG ADP;FEM;SG ADJ;FEM;NOM;SG 3;FEM;FIN;PFV;SG;V _ ERG;PRO 3;FIN;NEUT;PFV;SG;V _
निरोप घेऊन तो परत घरी आला .	निरोप घेणे तो परत घरी येणे .	ACC;MASC;N;SG PFV;V;V.CVB 3;MASC;NOM;PRO;SG ADV ADV 3;FIN;MASC;PFV;SG;V _
