अप्रयुज्यमानः प्रयोजनः उत्पत्तिः तुल्यः अप्राप्तस्य इति ।	प्र-युज् प्रयोजनस् उत्पत्ति तुल् प्राप्त इति ।	MASC;NEG;NOM;PASS;PRS;SG;V;V.PTCP N;NEUT;NOM;SG FEM;N;NOM;SG FUT;MASC;NOM;PASS;SG;V;V.PTCP ADJ;GEN;MASC;NEG;PASS;PST;SG;V.PTCP ADV _
ततो यथा मम मनोरथाः सिद्धिं यान्ति तथा अनुष्ठीयताम् इति ।	तद् यथा अस्मद् मनोरथ सिद्धि या तथा अनु-स्था इति ।	ADV ADV 1;GEN;PRO;SG MASC;N;NOM;PL ACC;FEM;N;SG 3;ACT;FIN;IND;PL;PRS;V ADV 3;FIN;IMP;PASS;SG;V ADV _
उक्तं च यतः	वच च यतः	NEUT;NOM;PASS;PST;SG;V;V.PTCP CONJ ADV
दैव वशात् उपपन्ने सति विभवे यस्य न अस्ति भोगः इच्छा न च पर लोके समीहे स भवति धन पालकः मूर्खः ।	दैव वश उप-पद सत् विभव यद् न अस् भोग इच्छा न च पर लोक समीह् तद् भू धन पालक मूर्ख ।	ADJ AT+ABL;MASC;N;SG ESS;MASC;PASS;PST;SG;V;V.PTCP ESS;MASC;N;SG ESS;MASC;N;SG GEN;MASC;PRO;SG NEG;PART 3;ACT;FIN;IND;PRS;SG;V MASC;N;NOM;SG FEM;N;NOM;SG NEG;PART CONJ ADJ ESS;MASC;N;SG 3;FIN;IND;MID;PFV;SG;V DET;MASC;NOM;SG 3;ACT;FIN;IND;PRS;SG;V N MASC;N;NOM;SG MASC;N;NOM;SG _
प्रातः स्वचक्रेण नारायणः भवत् शत्रु सैन्यम् व्यापादयिष्यति ।	प्रातर् स्वचक्र नारायण भवत् शत्रु सैन्य व्या-पद् ।	ADV INS;MASC;N;SG MASC;NOM;PROPN;SG 3;FORM;PRO N ACC;N;NEUT;SG 3;FIN;FUT;IND;SG;V;{ACT/CAUS} _
तत्र एकः सचिवः प्रोचुः	तत्र एक सचिव प्र-वच्	ADV MASC;NOM;NUM;SG MASC;N;NOM;SG 3;ACT;FIN;IND;PFV;PL;PST;V
यदि अहम् षट् मास अभ्यन्तरे तव पुत्रान् नयशास्त्रं प्रति अनन्य सदृशान् न करिष्यामि ततो न अर्हति देवो देव मार्ग संदर्शयितुम् । ”	यदि अस्मद् षष् मास् अभ्यन्तर युष्मद् पुत्र नयशास्त्र प्रति अनन्य सदृश न कृ तद् न अर्ह् देव देव मार्ग् सं-दृश् । "	CONJ 1;NOM;PRO;SG NUM N ESS;N;NEUT;SG 2;GEN;PRO;SG ACC;MASC;N;PL ACC;N;NEUT;SG ADP N ACC;ADJ;MASC;PL NEG;PART 1;ACT;FIN;FUT;IND;SG;V ADV NEG;PART 3;ACT;FIN;IND;PRS;SG;V MASC;N;NOM;SG N MASC;N;NOM;SG CAUS;NFIN;V _ _
पिङ्गलकः आह	पिङ्गलक अह्	MASC;NOM;PROPN;SG 3;ACT;FIN;IND;PFV;SG;V
अतः प्रभूना द्रव्येण तस्य एव वृद्धिः करणीया ।	अतस् प्रभु द्रव्य तद् एव वृद्धि करणीय ।	ADV ADJ;INS;MASC;SG INS;MASC;N;SG 3;GEN;MASC;PRO;SG ADV FEM;N;NOM;SG FEM;FUT;NOM;PASS;SG;V;V.PTCP _
अथवा साधु इदम् उच्यते -	अथवा साधु इदम् वच् -	ADV N;NEUT;NOM;SG NEUT;NOM;PRO;SG 3;FIN;IND;PASS;PRS;SG;V _
सः अब्रवीत्	तद् ब्रू	MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;SG;V
तस्मात् गृहाण एतत् ।	तद् ग्रह् एतद् ।	AT+ABL;NEUT;PRO;SG 2;ACT;FIN;IMP;PRS;SG;V ACC;NEUT;PRO;SG _
ब्रह्मा रुद्रः कुमारो हरि वरुण यमा वह्निः इद्रः कुबेरः चन्द्र आदित्यौ सरस्वती अदधि युग नगा वायुः उर्वी भुजङ्गाः ।	ब्रह्मन् रुद्र कुमार हरि वरुण यमा वह्नि इन्द्र कुबेर चन्द्र आदित्य सरस्वती अदधि युग नग वायु उर्वी भुजङ्ग ।	MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG PROPN PROPN MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG PROPN DU;MASC;NOM;PROPN PROPN _ N MASC;N;NOM;PL MASC;N;NOM;SG N MASC;N;NOM;PL _
तेन अभिहितम् ।	तद् अभि-धा ।	INS;MASC;PRO;SG NEUT;NOM;PASS;PST;SG;V;V.PTCP _
त्वाम् अहम् गान्धर्वेण विवाहेन विवाहयामि ।	त्वद् अहम् गान्धर्व विवाह वि-वह् ।	2;ACC;PRO;SG 1;NOM;PRO;SG ADJ;INS;MASC;SG INS;MASC;N;SG 1;FIN;IND;PRS;SG;V;{ACT/CAUS} _
न अहम् अर्थ लिप्सुः ब्रवीमि ।	न अस्मद् अर्थ लिप्सु ब्रू ।	NEG;PART 1;NOM;PRO;SG N MASC;N;NOM;SG 1;ACT;FIN;IND;PRS;SG;V _
देवः अत्र प्रमाणम् ।	देव अत्र प्रमाण ।	MASC;N;NOM;SG ADV N;NEUT;NOM;SG _
भद्र मा एवम् वोचः ।	भद्र मा एवम् वच् ।	MASC;N;SG;VOC NEG;PART ADV 2;ACT;FIN;IMP;SG;V _
अतः अहं ब्रवीमि	अतः अहम् ब्रु	ADV 1;NOM;PRO;SG 1;ACT;FIN;IND;PRS;SG;V
समये न आगतः ततः प्रवेश परीक्षायाम् न अनुमतः ।	समय न आ-गम् ततः प्रवेश परीक्षा न अनु-मन् ।	ESS;MASC;N;SG NEG;PART MASC;NOM;PASS;PST;SG;V;V.PTCP ADV N ESS;FEM;N;SG NEG;PART MASC;NOM;PASS;PST;SG;V;V.PTCP _
अपृष्टः अत्र अप्रधानः यः ब्रूते राज्ञः पुरः कुधीः ।	अ-प्रश अत्र अप्रधान यद् ब्रू राजन् पुरस् कुधी ।	MASC;NOM;PASS;PST;SG;V;V.PTCP ADV ADJ;MASC;NOM;SG MASC;NOM;PRO;SG 3;FIN;IND;MID;PRS;SG;V AT+ABL;MASC;N;SG ADP ACC;ADJ;MASC;SG _
तत् सिद्धाः अस्माकम् सर्वे हृदय स्था मनो रथाम् ।	तद् सिद्ध अहम् सर्व हृदय स्थ मनस् रथ ।	3;NEUT;NOM;PRO;SG MASC;N;NOM;PL 1;GEN;PL;PRO DET;MASC;NOM;PL N ADJ;MASC;NOM;PL N MASC;N;NOM;PL _
न अहम् विद्या विक्रयं करोमि शासन शतेन ।	न अहम् विद्यविक्रय विक्रय कृ शासन शत ।	NEG;PART 1;NOM;PRO;SG N ACC;MASC;N;SG 1;ACT;FIN;IND;PRS;SG;V N INS;NEUT;NUM;SG _
सञ्जीवकस्य गम्भीर तर रावम् दूर आशृणोत् ।	सञ्जिवक गम्भीर तर राव दूर आ-श्रु ।	GEN;MASC;PROPN;SG ADJ ADJ ACC;MASC;N;SG ADJ 3;ACT;FIN;IND;IPFV;SG;V _
एवम् च ततो धर्म अर्थ कामशास्त्राणि ज्ञायन्ते ।	एवम् च तद् धर्मा अर्थ कामशास्त्र ज्ञा ।	ADV CONJ ADV PROPN PROPN ACC;NEUT;PL;PROPN 3;FIN;IND;PASS;PL;PRS;V _
