mais j' ai des jeunes voisins qui sont là quand même depuis maintenant euh sept ans à peu près	mais je avoir de+le jeune voisins qui être là quand même depuis maintenant euh sept an à peu près	CONJ PRO V ADP ADJ N PRO V ADV PRO ADV ADP ADV INTJ NUM N ADP N ADV
ah c' est pas gênant	ah ce être pas gênant	INTJ PRO V PART ADJ
ah c' est moins payé que le reste	ah ce être moins payer que le reste	INTJ PRO V ADV ADJ CONJ DET N
euh ouais	euh ouais	INTJ INTJ
je traverse euh face à la euh mde	je traverser euh face à le euh mde	PRO V INTJ N ADP DET INTJ PROPN
jacques becker ensuite c' était autre chose	jacques becker ensuite ce être autre chose	PROPN PROPN ADV PRO V ADJ N
c' est ce que vous êtes	ce être ce que vous être	PRO V PRO PRO PRO V
alors moi déjà je veux travailler dans le public et pas dans le privé	alors lui déjà je vouloir travailler dans le public et pas dans le privé	ADV PRO ADV PRO V V ADP DET N CONJ PART ADP DET N
j' ai très mal vécu la chose	je avoir très mal vivre le chose	PRO V ADV ADV V DET N
et puis chauffer comme ça	et puis chauffer comme ça	CONJ ADV V ADP PRO
vous êtes directeur de recherche au cnrs et responsable du centre de recherche sur le risque et sa régulation à l' école des hautes études en santé publique	vous être directeur de recherche à+le cnrs et responsable de+le centre de recherche sur le risque et son régulation à le école de+le haut étude en santé public	PRO V N ADP N ADP PROPN CONJ N ADP N ADP N ADP DET N CONJ DET N ADP DET PROPN ADP ADJ N ADP N ADJ
surtout qu' en même temps j' avais mon travail aussi de m~ pour écrire des programmes et tout des logiciels	surtout que en même temps je avoir son travail aussi de m~ pour écrire de+le programme et tout de+le logiciel	ADV CONJ ADP ADJ N PRO V DET N ADV ADP _ ADP V ADP N CONJ PRO ADP N
oui si	oui si	INTJ CONJ
euh alors un changement mh euh les crottes de chien	euh alors un changement mh euh le crotte de chien	INTJ ADV DET N INTJ INTJ DET N ADP N
tu continues dans la vieille ville	tu continuer dans le vieux ville	PRO V ADP DET ADJ N
alors qui vous regarde	alors qui vous regarder	ADV PRO PRO V
ça c' est par le par le par le quatre-vingt-six par le quatre-vingt-six qui est un qui passe à l' arrière - plan qui est un bus formidable formidable qui qui qui traverse le quar~ qui passe boulevard saint - germain ah oui euh boulevard henri quatre	ça ce être par le par le par le quatre-vingt-six par le quatre-vingt-six qui être un qui passer à le arrière - plan qui être un bus formidable formidable qui qui qui traverser le quartier qui passer boulevard saint - germain ah oui euh boulevard henri quatre	PRO PRO V ADP DET ADP DET ADP DET NUM ADP DET NUM PRO V DET PRO V ADP DET ADJ _ N PRO V DET N ADJ ADJ PRO PRO PRO V DET N PRO V N PROPN _ PROPN INTJ INTJ INTJ N PROPN PROPN
et ils vous	et il vous	CONJ PRO PRO
c' est qu' il y a un art qui consiste à fabriquer	ce être que il y avoir un art qui consister à fabriquer	PRO V CONJ PRO PRO V DET N PRO V ADP V
mais c' est un concept c' est ce qu' on appelle un concept flou	mais ce être un concept ce être ce que on appeler un concept flou	CONJ PRO V DET N PRO V PRO PRO PRO V DET N ADJ
ouais j' imagine	ouais je imaginer	INTJ PRO V
mais ils parlaient quand même ils parlaient quand même portugais	mais il parler quand même il parler quand même portugais	CONJ PRO V PRO ADV PRO V PRO ADV N
