he decided just to drop the first one he caught over the hedge , but the gnome , sensing weakness , sank its razor-sharp teeth into harry 's finger and he had a hard job shaking it off until –	he decide just to drop the first one he catch over the hedge , but the gnome , sense weakness , sink it razor-sharp tooth into harry 's finger and he have a hard job shake it off until –	3;MASC;NOM;PRO;SG FIN;IND;PST;V ADV PART NFIN;V DEF;DET ADJ PRO 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP DEF;DET N;SG _ CONJ DEF;DET N;SG _ PRS;V;V.PTCP N;SG _ FIN;IND;PST;V 3;NEUT;PRO;SG ADJ N;PL ADP PROPN;SG PART N;SG CONJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V DET;INDF ADJ N;SG PRS;V;V.PTCP PRO ADV CONJ _
i found it on the street .	i find it on the street .	1;NOM;PRO;SG FIN;IND;PST;V PRO ADP DEF;DET N;SG _
pivottable view with nested custom groups	pivottable view with nested custom group	N;SG N;SG ADP ADJ N;SG N;PL
he was quite a nice young man in dar-es-salaam .	he be quite a nice young man in dar-es-salaam .	3;MASC;NOM;PRO;SG 1;FIN;IND;PST;SG;V ADV DET;INDF ADJ ADJ N;SG ADP PROPN;SG _
aunt petunia dug some ice-cream out of the freezer and harry , still shaking , started scrubbing the kitchen clean .	aunt petunia dig some ice-cream out of the freezer and harry , still shake , start scrub the kitchen clean .	N;SG PROPN;SG FIN;IND;PST;V DET N;SG ADP ADP DEF;DET N;SG CONJ PROPN;SG _ ADV PRS;V;V.PTCP _ FIN;IND;PST;V PRS;V;V.PTCP DEF;DET N;SG ADJ _
you can export a database object as an xml document in several ways :	you can export a database object as an xml document in several way :	PRO FIN;V NFIN;V DET;INDF N;SG N;SG ADP DET;INDF PROPN;SG N;SG ADP ADJ N;PL _
he shook hands , i fancy , murmured vaguely , was satisfied with my french .	he shake hand , i fancy , murmur vague , be satisfy with i french .	3;MASC;NOM;PRO;SG FIN;IND;PST;V N;PL _ 1;NOM;PRO;SG NOM;V _ FIN;IND;PST;V ADV _ 1;FIN;IND;PST;SG;V NOM;V ADP 1;PRO;SG N;NOM _
she said , there 're bulbs like you see in films round the star 's dressing-table , and they light up and spell independence hurrah .	she say , there be bulb like you see in film round the star 's dressing-table , and they light up and spell independence hurrah .	3;FEM;NOM;PRO;SG FIN;IND;PST;V _ PRO NOM;V N;PL ADP PRO FIN;IND;PRS;V ADP N;PL ADP DEF;DET N;SG PART N;SG _ CONJ 3;NOM;PL;PRO NOM;V ADV CONJ FIN;IND;PRS;V N;SG INTJ _
i 'm afraid you 've got the wrong paul auster .	i be afraid you have get the wrong paul auster .	1;NOM;PRO;SG FIN;IND;PRS;V ADJ PRO FIN;IND;PRS;V FIN;IND;PST;V DEF;DET ADJ PROPN;SG PROPN;SG _
anyone who 's stayed on is a fool if he has n't thought about that , said bray .	anyone who be stay on be a fool if he have not think about that , say bray .	PRO;SG PRO 3;FIN;IND;PRS;SG;V FIN;IND;PST;V ADV 3;FIN;IND;PRS;SG;V DET;INDF N;SG CONJ 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PART FIN;IND;PST;V ADP PRO;SG _ FIN;IND;PST;V PROPN;SG _
he opened his eyes to make the words stop .	he opened he eye to make the word stop .	3;MASC;NOM;PRO;SG FIN;IND;PST;V 3;MASC;PRO;SG N;PL PART NFIN;V DEF;DET N;PL NFIN;V _
you shop in supermarkets , you say good morning to friends on the telephone , you hear symphony orchestras on the radio .	you shop in supermarket , you say good morning to friend on the telephone , you hear symphony orchestra on the radio .	PRO FIN;IND;PRS;V ADP N;PL _ PRO FIN;IND;PRS;V ADJ N;SG ADP N;PL ADP DEF;DET N;SG _ PRO FIN;IND;PRS;V N;SG N;PL ADP DEF;DET N;SG _
opposite it there are olives still , which arabs are harvesting with long poles .	opposite it there be olive still , which arab be harvest with long pole .	ADP;NOM PRO PRO FIN;IND;PRS;V N;PL ADV _ PRO N;NOM FIN;IND;PRS;V PRS;V;V.PTCP ADP ADJ N;PL _
their hell is a personal dissatisfaction with themselves if they are mediocre . "	they hell be a personal dissatisfaction with they if they be mediocre . &quot;	PRO N;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG ADP 3;ACC;PL;PRO;REFL CONJ 3;NOM;PL;PRO FIN;IND;PRS;V ADJ _ _
arab boys are racing their donkeys down the hill .	arab boy be race they donkey down the hill .	N;NOM N;PL FIN;IND;PRS;V NOM;V PRO N;PL ADP DEF;DET N;SG _
secondly , i believe that it is time for the european parliament to set an example .	secondly , i believe that it be time for the european parliament to set an example .	ADV _ 1;NOM;PRO;SG FIN;IND;PRS;V CONJ PRO 3;FIN;IND;PRS;SG;V N;SG ADP DEF;DET ADJ N;SG PART NFIN;V DET;INDF N;SG _
wires sometimes get crossed . a person tries to call a number , and even though he dials correctly , he gets someone else .	wire sometimes get cross . a person try to call a number , and even though he dials correct , he get someone else .	N;PL ADV FIN;IND;PRS;V PASS;PST;V;V.PTCP _ DET;INDF N;SG 3;FIN;IND;PRS;SG;V PART NFIN;V DET;INDF N;SG _ CONJ ADV CONJ 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADV _ 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PRO;SG ADV _
however , it is essential that the rules should be reasonable .	however , it be essential that the rule should be reasonable .	ADV _ PRO 3;FIN;IND;PRS;SG;V ADJ CONJ DEF;DET N;PL FIN;V NFIN;V ADJ _
he was a speck , a punctuation mark , a brick in an endless wall of bricks .	he be a speck , a punctuation mark , a brick in an endless wall of brick .	3;MASC;NOM;PRO;SG 1;FIN;IND;PST;SG;V DET;INDF N;SG _ DET;INDF N;SG N;SG _ DET;INDF N;SG ADP DET;INDF ADJ N;SG ADP N;PL _
everything else in the station was in a muddle , – heads , things , buildings .	everything else in the station be in a muddle , – head , thing , building .	PRO;SG ADV ADP DEF;DET N;SG 1;FIN;IND;PST;SG;V ADP DET;INDF N;SG _ _ N;PL _ N;PL _ N;PL _
he could go to paris , for example .	he could go to paris , for example .	3;MASC;NOM;PRO;SG FIN;V NFIN;V ADP PROPN;SG _ ADP N;SG _
