그는 최초의 튜링 완전 계산기인 z3를 설계하였다 .	그+는 최초+의 튜링 완전 계산기+이+ㄴ z+3+를 설계+하+았+다 .	PRO N N N V N V _
짜장면 먹을만하고 짬뽕도 괞찬은데 나오는 시간이 좀 걸려요	짜장면 먹+을+만+하+고 짬뽕+도 괜찮+은데 나오+는 시간+이 좀 걸리+어요	N V N V V N ADV V
스타벅스가 어디에	스타벅스+가 어디+에	N ADV
양도 많이 주시고 추천합니다	양도 많이 주+시+고 추천+하+ㅂ니다	N ADV V V
넓은 광장과 운동기구가 많아 산책과 운동하기 좋아여	넓+은 광장+과 운동+기구+가 많+아 산책+과 운동+하+기 좋+아+이+어	ADJ N N V N N ADJ
러시아워 때 제일 가까운 병원에 가는 경로를 마일로 알려주라	러시아워 때 제일 가깝+ㄴ 병원+에 가+는 경로+를 마일+로 알리+어+주+라	N ADP ADV ADJ ADV V N ADV V
시작은 좋지 않았다 .	시작+은 좋+지 않+았+다 .	N V V _
그런데 어떻게 이런 어처구니없는 부품결함이 일어날 수 있을까요 ?	그런데 어떻+게 이런 어처구니없+는 부품+결함+이 일어나+ㄹ 수 있+을까요 ?	ADV ADV ADJ ADJ N V N ADJ _
또 개관 9개월여가 되도록 공식 홈페이지조차 구축돼 있지 않아 일반인들이 관련정보를 얻는데 어려움이 적지 않다 .	또 개관 9+개월+여+가 되+도록 공식 홈페이지+조차 구축+되+어 있+지 않+아 일반인+들+이 관련+정보+를 얻+는데 어려움+이 적+지 않+다 .	ADV N N V N N V V V N N V N V V _
흔히 가계 예산을 짜는 일은 다이어트보다 어려운 일로 불린다 .	흔히 가계 예산+을 짜+는 일+은 다이어트+보다 어렵+ㄴ 일+로 불리+ㄴ다 .	ADV N N V N ADV ADJ ADV V _
정원엔 토끼가 다니고 아침 식사가 만족스러운 호텔입니다	정원+에+ㄴ 토끼+가 다니+고 아침 식사+가 만족+스럽+ㄴ 호텔+이+ㅂ니다	ADV N V N N V V
1947년에 제작한 보이스 오브 더 시어터라는 스피커 모델과 애플 아이팟용으로 설계한 휴대용 스피커 , 인모션으로 잘 알려져 있다 .	1947+년+에 제작+하+ㄴ 보이스 오브 더 시어터+이+라는 스피커 모델+과 애플 아이+팟+용+으로 설계+하+ㄴ 휴대+용 스피커 , 인+모션+으로 잘 알리+어+지+어 있+다 .	N V N N N V N N N ADV V N N _ ADV ADV V V _
1930년대 나치가 정권을 잡게 되자 , 나치의 문화당국자들은 프리드리히의 작품을 북구 유럽적 특징을 구현한 작품으로 선전했다 .	1930+년대 나치+가 정권+을 잡+게 되+자 , 나치+의 문화+당국자+들+은 프리드리히+의 작품+을 북구 유럽+적 특징+을 구현+하+ㄴ 작품+으로 선전+하+았+다 .	N N N V V _ N N N N N ADJ N V ADV V _
이따위 터미널도 있나 싶네요 .	이따위 터미널+도 있+나 싶+네요 .	ADJ N V ADJ _
버커킹이 어디냐 ?	버커킹+이 어디+이+냐 ?	N V _
공주시내로 진입할 수 있으며 인근에 공주대학교가 위치해 있다 .	공주+시내+로 진입+하+ㄹ 수 있+으며 인근+에 공주+대학교+가 위치+하+아 있+다 .	ADV V N V ADV N V V _
또 시 • 도지사에게 기관추천 민영주택 특별공급 비율 조정권을 줘 시 • 도지사 판단으로 민영주택 특별공급 물량을 국민주택처럼 10 % 를 초과해 공급할 수 있게 했다 .	또 시 • 도지사+에게 기관+추천 민영+주택 특별+공급 비율 조정+권+을 주+어 시 • 도지사 판단+으로 민영+주택 특별+공급 물량+을 국민+주택+처럼 10 % 를 초과+하+아 공급+하+ㄹ 수 있+게 하+았+다 .	ADV N _ N N N N N N V N _ N ADV N N N ADV NUM _ ADP V V N V V _
명종 8년 ( 1553년 ) 9월에는 실화로 강녕전에 큰 불이 나서 사정전 , 근정전 , 경회루 , 함원전 , 청연루만을 남긴 채 편전과 침전 구역의 건물이 모두 소실되었으며 , 역대로 내려오던 진귀한 보배와 서적 , 왕과 왕비의 고명 , 의복 , 거마 등이 불타버렸다 .	명종 8+년 ( 1553+년 ) 9+월+에+는 실화+로 강녕전+에 크+ㄴ 불+이 나+아서 사정전 , 근정전 , 경회루 , 하+ㅁ+원전 , 청연루+만+을 남기+ㄴ 채 편전+과 침전 구역+의 건물+이 모두 소실+되+었+으며 , 역대+로 내려오+던 진귀+하+ㄴ 보배+와 서적 , 왕+과 왕비+의 고명 , 의복 , 거마 등+이 불타+아+버리+었+다 .	N N _ N _ N ADV ADV ADJ N V N _ N _ N _ N _ N V N N N N N ADV V _ ADV V ADJ N N _ N N N _ N _ N N V _
김완선은 28일 방송되는 mnet ' 엠 사운드플렉스 ' 에 출연 , 이같이 밝혀 눈길을 모았다 .	김완선+은 28+일 방송+되+는 mnet ' 엠 사운드플렉스 ' 에 출연 , 이+같이 밝히+어 눈길+을 모으+았+다 .	N N V N _ N N _ ADP N _ ADV V N V _
제 여자 친구가 여기 병원 다녀와서는 잔뜩 겁먹었더군요 .	제 여자 친구+가 여기 병원 다녀오+아서+는 잔뜩 겁먹+었+더군요 .	PRO N N PRO ADV V ADV V _
매운갈비찜 조미료를 사용하지 않구 천연재료루 맛을 내서 음식에 깊은 맛을 더해주는 집 ~ ~	매운+갈비찜 조미료+를 사용+하+지 않+구 천연+재료+루 맛+을 내+어서 음식+에 깊+은 맛+을 더하+아+주+는 집 ~ ~	N N V V ADV N V ADV ADJ N V PROPN _ _
꼭 매장에서 마늘후라이드 드셔보세요	꼭 매장+에서 마늘+후라이드 들+시+어+보+세요	ADV ADV N V
대전 가는 길 대중교통으로 보여줘	대전 가+는 길 대중교통+으로 보이+어+주+어	N V N ADV V
꼭 한 번 가보세요	꼭 한 번 가보세+요	ADV NUM ADV V
지역에 비해 분위기나 공간이 좋고요	지역+에 비하+아 분위기+나 공간+이 좋+고요	ADV V N N ADJ
653개 종목이 오르고 240개 종목이 내렸다 .	653+개 종목+이 오르+고 240+개 종목+이 내리+었+다 .	N N V N N V _
스페인 수도가 어디냐	스페인 수도+가 어디+이+냐	N N V
원빈 사진 좀 찾아줘	원빈 사진 좀 찾+아+주+어	N N ADV V
자주 애용할 꺼에요	자주 애용+하+ㄹ 꺼+에+요	ADV V V
너무 친절하시죠 ~	너무 친절+하+시+죠 ~	ADV V _
